MINISTRY/DEPARTMENT,Total
Agriculture & Cooperation,5907.21
Agricultural Research and Education,2460.00
"Animal Husbandry, Dairying and Fisheries",955.00
Agro and Rural Industries,1199.63
Atomic Energy,6130.00
Chemicals and Petro-Chemicals,257.00
Fertilisers,22532.00
Civil Aviation,617.56
Coal,288.00
Commerce,2541.00
Industrial Policy and Promotion,613.44
Posts,1714.38
Telecommunications,3840.00
Information Technology,1536.00
Company Affairs,201.00
Consumer Affairs,249.64
Food and Public Distribution,26085.00
Culture,932.61
Defence (Civil estimates),16695.83
Defence Services,96000.00
Development of North Eastern Region,93.07
Earth Sciences,887.00
Environment and Forests,1539.00
External Affairs,4433.60
Economic Affairs,48754.74
Economic Affairs (centralised provisions),189264.93
Expenditure,8635.50
Disinvestment,1655.00
Food Processing Industries,258.30
Health & Family Welfare,15291.00
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",563.88
Heavy Industry,906.30
Public Enterprises,14.43
Home Affairs,20995.73
Housing and Urban Poverty Alleviation,509.75
School Education and Literacy,23142.22
Higher Education,9209.50
Information and Broadcasting,1681.84
Labour and Employment,1633.48
Election Commission,
Law and Justice,817.00
Supreme Court of India,
Mines,389.70
Minority Affairs,512.83
New and Renewable Energy,632.90
Overseas Indian Affairs,
Panchayati Raj,100.50
Parliamentary Affairs,
"Personnel, Public Grievances and Pensions",366.00
Petroleum and Natural Gas,
Planning,129.32
Power,5552.19
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",
Rural Development,27522.86
MINISTRY/DEPARTMENT,
Plan,Total
Land Resources,1503.78
Drinking Water Supply,7561.74
Science and Technology,1775.00
Scientific and Industrial Research,1902.00
Biotechnology,694.70
Shipping,1553.50
Road Transport and Highways,14627.02
Small Scale Industries,585.41
Social Justice and Empowerment,2059.15
Space,3858.60
Statistics and Programme Implementation,273.54
Steel,150.50
Textiles,3136.68
Tourism,996.62
Tribal Affairs,515.33
Urban Development,3814.52
Water Resources,871.76
Women and Child Development,5853.00
Youth Affairs and Sports,780.00
MINISTRY/DEPARTMENT,
Plan,
Land Resources,1503.78
Drinking Water Supply,7561.74
Science and Technology,1775.00
Scientific and Industrial Research,1902.00
Biotechnology,694.70
Shipping,1553.50
Road Transport and Highways,14627.02
Small Scale Industries,585.41
Social Justice and Empowerment,2059.15
Space,3858.60
Statistics and Programme Implementation,273.54
Steel,150.50
Textiles,3136.68
Tourism,996.62
Tribal Affairs,515.33
Urban Development,3814.52
Water Resources,871.76
Women and Child Development,5853.00
Youth Affairs and Sports,780.00
Railways,6886.31
Central Ministries/Departments,
Total,628051.48
STATE PLANS (including DONER),
Total,47127.04
State Plans,45827.04
Agriculture and Cooperation,40.00
Finance,36808.20
Panchayati Raj,4670.00
Statistics and Programme Implementation,1580.00
Road Transport and Highways,1512.13
Tribal Affairs,1216.71
DONER,1300.00
(i) North Eastern Region,600.00
(ii) Central Pool of Resources for NE and Sikkim,600.00
(iii) Special Package for Bodoland Territorial Council,100.00
UNION TERRITORIES,5341.99
Union Territories with Legislature,1675.12
Puducherry,642.32
Union Territories without Legislature,3666.87
Andaman & Nicobar Islands,1854.83
Chandigarh,1104.91
Dadra & Nagar Haveli,131.88
Daman & Diu,130.67
Lakshadweep,444.58
Total Central Assistance for States & UTs,52469.03
GRAND TOTAL,680520.51
