Ministry,Budget,Percentage_Share
Agriculture & Cooperation,5907.2100,0.8680
Agricultural Research and Education,2460.0000,0.3615
"Animal Husbandry, Dairying and Fisheries",955.0000,0.1403
Agro and Rural Industries,1199.6300,0.1763
Atomic Energy,6130.0000,0.9008
Chemicals and Petro-Chemicals,257.0000,0.0378
Fertilisers,22532.0000,3.3110
Civil Aviation,617.5600,0.0907
Coal,288.0000,0.0423
Commerce,2541.0000,0.3734
Industrial Policy and Promotion,613.4400,0.0901
Posts,1714.3800,0.2519
Telecommunications,3840.0000,0.5643
Information Technology,1536.0000,0.2257
Company Affairs,201.0000,0.0295
Consumer Affairs,249.6400,0.0367
Food and Public Distribution,26085.0000,3.8331
Culture,932.6100,0.1370
Defence (Civil estimates),16695.8300,2.4534
Defence Services,96000.0000,14.1068
Development of North Eastern Region,93.0700,0.0137
Earth Sciences,887.0000,0.1303
Environment and Forests,1539.0000,0.2262
External Affairs,4433.6000,0.6515
Economic Affairs,48754.7400,7.1643
Economic Affairs (centralised provisions),189264.9300,27.8118
Expenditure,8635.5000,1.2690
Disinvestment,1655.0000,0.2432
Food Processing Industries,258.3000,0.0380
Health & Family Welfare,15291.0000,2.2470
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",563.8800,0.0829
Heavy Industry,906.3000,0.1332
Public Enterprises,14.4300,0.0021
Home Affairs,20995.7300,3.0852
Housing and Urban Poverty Alleviation,509.7500,0.0749
School Education and Literacy,23142.2200,3.4007
Higher Education,9209.5000,1.3533
Information and Broadcasting,1681.8400,0.2471
Labour and Employment,1633.4800,0.2400
Election Commission,,
Law and Justice,817.0000,0.1201
Supreme Court of India,,
Mines,389.7000,0.0573
Minority Affairs,512.8300,0.0754
New and Renewable Energy,632.9000,0.0930
Overseas Indian Affairs,,
Panchayati Raj,100.5000,0.0148
Parliamentary Affairs,,
"Personnel, Public Grievances and Pensions",366.0000,0.0538
Petroleum and Natural Gas,,
Planning,129.3200,0.0190
Power,5552.1900,0.8159
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",,
Rural Development,27522.8600,4.0444
MINISTRY/DEPARTMENT,,
Plan,,
Land Resources,1503.7800,0.2210
Drinking Water Supply,7561.7400,1.1112
Science and Technology,1775.0000,0.2608
Scientific and Industrial Research,1902.0000,0.2795
Biotechnology,694.7000,0.1021
Shipping,1553.5000,0.2283
Road Transport and Highways,14627.0200,2.1494
Small Scale Industries,585.4100,0.0860
Social Justice and Empowerment,2059.1500,0.3026
Space,3858.6000,0.5670
Statistics and Programme Implementation,273.5400,0.0402
Steel,150.5000,0.0221
Textiles,3136.6800,0.4609
Tourism,996.6200,0.1464
Tribal Affairs,515.3300,0.0757
Urban Development,3814.5200,0.5605
Water Resources,871.7600,0.1281
Women and Child Development,5853.0000,0.8601
Youth Affairs and Sports,780.0000,0.1146
MINISTRY/DEPARTMENT,,
Plan,,
Land Resources,1503.7800,0.2210
Drinking Water Supply,7561.7400,1.1112
Science and Technology,1775.0000,0.2608
Scientific and Industrial Research,1902.0000,0.2795
Biotechnology,694.7000,0.1021
Shipping,1553.5000,0.2283
Road Transport and Highways,14627.0200,2.1494
Small Scale Industries,585.4100,0.0860
Social Justice and Empowerment,2059.1500,0.3026
Space,3858.6000,0.5670
Statistics and Programme Implementation,273.5400,0.0402
Steel,150.5000,0.0221
Textiles,3136.6800,0.4609
Tourism,996.6200,0.1464
Tribal Affairs,515.3300,0.0757
Urban Development,3814.5200,0.5605
Water Resources,871.7600,0.1281
Women and Child Development,5853.0000,0.8601
Youth Affairs and Sports,780.0000,0.1146
Railways,6886.3100,1.0119
Central Ministries/Departments,,
Total,628051.4800,92.2899
STATE PLANS (including DONER),,
Total,47127.0400,6.9251
State Plans,45827.0400,6.7341
Agriculture and Cooperation,40.0000,0.0059
Finance,36808.2000,5.4088
Panchayati Raj,4670.0000,0.6862
Statistics and Programme Implementation,1580.0000,0.2322
Road Transport and Highways,1512.1300,0.2222
Tribal Affairs,1216.7100,0.1788
DONER,1300.0000,0.1910
(i) North Eastern Region,600.0000,0.0882
(ii) Central Pool of Resources for NE and Sikkim,600.0000,0.0882
(iii) Special Package for Bodoland Territorial Council,100.0000,0.0147
UNION TERRITORIES,5341.9900,0.7850
Union Territories with Legislature,1675.1200,0.2462
Puducherry,642.3200,0.0944
Union Territories without Legislature,3666.8700,0.5388
Andaman & Nicobar Islands,1854.8300,0.2726
Chandigarh,1104.9100,0.1624
Dadra & Nagar Haveli,131.8800,0.0194
Daman & Diu,130.6700,0.0192
Lakshadweep,444.5800,0.0653
Total Central Assistance for States & UTs,52469.0300,7.7101
