MINISTRY/DEPARTMENT,
Plan,Total
Agriculture & Cooperation,7528.78
Revenue,7249.53
Capital,279.25
Agricultural Research and Education,2680.00
Revenue,2680.00
Capital,...
Animal Husbandry and Dairying,1062.43
Revenue,1046.43
Capital,16.00
Atomic Energy,4797.00
Revenue,1327.97
Capital,3469.03
Chemicals and Petro-Chemicals,347.00
Revenue,296.80
Capital,50.20
Fertilisers,31200.00
Revenue,31153.96
Capital,46.04
Civil Aviation,648.00
Revenue,476.02
Capital,171.98
Coal,345.50
Revenue,345.50
Capital,...
Commerce,3520.00
Revenue,2809.00
Capital,711.00
Industrial Policy and Promotion,723.43
Revenue,673.43
Capital,50.00
Posts,1562.35
Revenue,1135.74
Capital,426.61
Telecommunications,4140.00
Revenue,3939.25
Capital,200.75
Information Technology,1716.00
Revenue,1616.50
Capital,99.50
Consumer Affairs,247.95
Revenue,215.91
Capital,32.04
Food and Public Distribution,33095.00
Revenue,33074.55
Capital,20.45
Corporate Affairs,203.00
Revenue,158.00
Capital,45.00
Culture,1025.00
Revenue,978.68
Capital,46.32
Defence (Civil estimates),17934.82
Revenue,16515.11
Capital,1006.68
Defence Services,105600.00
Revenue,57593.00
Capital,48007.00
Development of North Eastern Region,97.00
Revenue,33.00
Capital,64.00
Earth Sciences,971.00
Revenue,546.12
Capital,424.88
Environment and Forests,1707.00
Revenue,1676.67
Capital,30.33
External Affairs,5062.00
Revenue,4216.07
Capital,845.93
Economic Affairs,13522.93
Revenue,10614.58
Capital,2908.35
Financial Services,60.00
Revenue,59.98
Capital,0.02
Economic Affairs (centralised provisions),225417.39
Revenue,225552.39
Capital,-135.00
Expenditure,9221.00
Revenue,9212.05
Capital,8.95
Revenue,9954.00
Revenue,9436.98
Capital,517.02
Disinvestment,1186.00
Revenue,21.00
Capital,1165.00
Food Processing Industries,299.00
Revenue,254.60
Capital,44.40
Health & Family Welfare,16968.25
Revenue,16094.82
Capital,873.43
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",623.00
Revenue,621.00
Capital,2.00
Health Research,531.75
Revenue,531.75
Capital,...
Heavy Industry,807.20
Revenue,214.96
Capital,592.24
Public Enterprises,14.50
Revenue,14.50
Capital,...
Home Affairs,24082.79
Revenue,18554.82
Capital,5527.97
Housing and Urban Poverty Alleviation,856.50
Revenue,855.00
Capital,1.50
School Education and Literacy,27850.00
Revenue,27850.00
Higher Education,10852.87
Revenue,10852.87
Capital,
Information and Broadcasting,1910.00
Revenue,1497.67
Capital,
Labour and Employment,2229.50
Revenue,2101.53
Capital,
Election Commission,
Revenue,
Capital,
Law and Justice,685.87
Revenue,685.84
Capital,
Supreme Court of India,
Revenue,
Capital,
"Micro, Small and Medium Enterprises",1939.42
Revenue,1931.11
Capital,8.31
Mines,439.00
Revenue,387.20
Capital,
Minority Affairs,1013.83
Revenue,938.83
Capital,
New and Renewable Energy,624.09
Revenue,593.89
Capital,
Overseas Indian Affairs,
Revenue,
Capital,
Panchayati Raj,110.50
Revenue,110.50
Capital,
Parliamentary Affairs,
Revenue,
Capital,
"Personnel, Public Grievances and Pensions",443.00
Revenue,386.99
Capital,56.01
Petroleum and Natural Gas,2938.00
Revenue,2938.00
Capital,
Planning,644.00
Revenue,626.00
Capital,
Power,6075.00
Revenue,5768.44
Capital,
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",538.00
Rural Development,31524.06
Land Resources,2403.90
Drinking Water Supply,8501.90
Science and Technology,1780.00
Scientific and Industrial Research,2078.00
Biotechnology,919.00
Shipping,1300.25
Road Transport and Highways,15578.00
Social Justice and Empowerment,2459.00
Space,4074.00
Statistics and Programme Implementation,319.00
Steel,111.23
Textiles,3323.51
Tourism,1047.00
Tribal Affairs,817.55
Urban Development,4128.75
Water Resources,880.00
Women and Child Development,7262.00
Revenue,7262.00
Youth Affairs and Sports,1111.81
Revenue,977.29
Capital,134.52
Railways,7100.00
Central Ministries/Departments,684914.68
Revenue,597107.40
Capital,87807.28
STATE PLANS (including DONER),60152.46
Revenue,56205.46
Capital,3947.00
State Plans,58778.46
Revenue,54910.96
Capital,3867.50
Agriculture and Cooperation,3193.30
Revenue,3193.30
Finance,46413.34
Revenue,42545.84
Capital,3867.50
Panchayati Raj,4670.00
Revenue,4670.00
Statistics and Programme Implementation,1580.00
Revenue,1580.00
Road Transport and Highways,1605.82
Revenue,1605.82
Tribal Affairs,1316.00
Revenue,1316.00
DONER,1374.00
Revenue,1294.50
Capital,79.50
North Eastern Region,624.00
Revenue,544.50
Capital,79.50
Central Pool of Resources for NE and Sikkim,650.00
Revenue,650.00
Special Package for Bodoland Territorial Council,100.00
Revenue,100.00
UNION TERRITORIES,5816.39
Revenue,4806.14
Capital,1010.25
Union Territories with Legislature,1902.10
Revenue,1830.10
Capital,72.00
Puducherry,586.96
Revenue,514.96
Capital,72.00
National Capital Territory of Delhi,1315.14
Revenue,1315.14
Capital,...
Union Territories without Legislature,3914.29
Revenue,2976.04
Capital,938.25
Andaman & Nicobar Islands,1892.62
Revenue,1145.15
Capital,747.47
Chandigarh,1199.46
Revenue,1266.44
Capital,-66.98
Dadra & Nagar Haveli,153.97
Revenue,122.62
Capital,31.35
Daman & Diu,150.79
Revenue,103.52
Capital,47.27
Lakshadweep,517.45
Revenue,338.31
Capital,179.14
Total Central Assistance for States & UTs,65968.85
Revenue,61011.60
Capital,4957.25
GRANDTOTAL,750883.53
Revenue,658119.00
Capital,92764.53
