MINISTRY/DEPARTMENT,Total
I. CENTRAL SECTOR,1567081.78
Agriculture and Cooperation,6203.85
Agriculture Research and Education,6320.00
Animal Husbandry Dairying and Fisheries,1227.43
Atomic Energy,10912.00
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),896
Chemicals and Petrochemicals,255.18
Fertilisers,73047.80
Pharmaceuticals,259.02
Civil Aviation,3341.50
Coal,606.00
Commerce,5091.51
Industrial Policy and Promotion,2616.19
Posts,7138.70
Telecommunications,13474.60
Electronics and Information Technology,2630.00
Consumer Affairs,261.77
Food and Public Distribution,125212.00
Corporate Affairs,271.88
Culture,2169.00
Defence(Civil Estimates),63352.60
Defence Services,246727.00
Development of North Eastern Region,564.74
Drinking Water and Sanitation,238.87
Earth Sciences,1619.70
Environment Forests and Climate Change,1230.05
External Affairs,14966.83
Economic Affairs,17239.56
Financial Services,24866.80
Economic Affairs (Centralised Provisions),565159.57
Expenditure,29870.89
Disinvestment,44.00
Food Processing Industries,498.51
Health and Family Welfare,11358.00
Health Research,1018.17
AIDS Control,857.00
Heavy Industry,1624.73
Public Enterprises,19.00
Home Affairs,65651.10
Housing and Urban Poverty Alleviation,669.47
School Education and Literacy,6153.00
Higher Education,25700.26
Information and Broadcasting,3711.11
Labour and Employment,3966.85
Election Commission,80.00
Law and Justice,2960.65
Supreme Court of India,155.00
Micro Small and Medium Enterprises,3007.42
Mines,1155.71
Minority Affairs,2494.11
New and Renewable Energy,303.21
Overseas Indian Affairs,118.17
Panchayati Raj,94.75
Parliamentary Affairs,15.57
Personnel,921.43
Petroleum and Natural Gas,30125.55
Planning,2211.63
Power,6725.93
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,1186.04
Road Transport and Highways,42841.65
Rural Development,7493.08
Land Resources,59.73
Science and Technology,3835.70
Scientific and Industrial Research,4031.00
Biotechnology,1625.14
Shipping,1439.79
Skill Development and Entrepreneurship,1543.46
Social Justice and Empowerment,2792.57
Disability Affairs,631.94
Space,7388.19
Statistics and Programme Implementation,876.87
Steel,82.95
Textiles,4274.80
Tourism,1553.07
Tribal Affairs,1065.37
Urban Development,13192.87
Water Resources River Development and Ganga Rejuvenation,2232.43
Women and Child Development,1084.61
Youth Affairs and Sports,1398.84
Railways,40000.00
II. STATE PLANS TOTAL (A+B),196743.01
A. STATE PLANS,194945.01
a. Agriculture and Cooperation,10800.00
b. Animal Husbandry Dairying and Fisheries,...
c. Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),300
d. Commerce,...
e. Electronics and Information Technology,...
f. Drinking Water and Sanitation,6000.00
g. Environment Forests and Climate Change,449.55
h. Economic Affairs (Centralised Provisions),16000.00
i. Food Processing Industries,...
j. Health and Family Welfare,18000.00
k. AIDS Control,500.00
l. Home Affairs,990.00
m. Housing and Urban Poverty Alleviation,4500.00
n. School Education and Literacy,35781.50
o. Higher Education,1060.00
p. Labour and Employment,1390.52
q. Law and Justice,500.00
r. Minority Affairs,1232.00
s. Panchayati Raj,...
t. Road Transport and Highways,2868.00
u. Rural Development,64100.00
v. Land Resources,1572.77
w. Social Justice and Empowerment,3722.25
x. Disability Affairs,5.00
y. Statistics and Programme Implementation,3950.00
z. Textiles,...
aa. Tourism,...
bb. Tribal Affairs,3753.84
cc. Urban Development,6000.00
dd. Water Resources River Development and Ganga Rejuvenation,2000
ee. Women and Child Development,8999.79
ff. Youth Affairs and Sports,119.79
B. DONER (gg+hh),1798.00
gg. Grants from Central Pool of Resources for North Eastern Region and Sikkim,970.00
hh. North Eastern Region,828.00
,
III. UNION TERRITORIES (A + B),13652.25
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2 + 3),3614.00
(2) Puducherry,1377.01
,
(3) UT Schemes(Others),1816.00
B. UNION TERRITORIES WITHOUT LEGISLATURE (4 + 5 + 6 + 7 + 8),10038.25
(4) Andaman and Nicobar Islands,3748.38
(5) Chandigarh,3457.16
(6) Dadra and Nagar Haveli,892.90
(7) Daman and Diu,879.82
(8) Lakshadweep,1059.99
IV. Total Central Assistance for States and UTs (II + III),210395.26
Grand Total,1777477.04
