Ministry,Budget,Percentage_Share
I. CENTRAL SECTOR,1729508.4800,87.4346
Agriculture Cooperation and Farmers Welfare,23228.8300,1.1743
Agriculture Research and Education,6620.0000,0.3347
Animal Husbandry Dairying and Fisheries,1339.5100,0.0677
Atomic Energy,11682.4800,0.5906
Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),926.2000,0.0468
Chemicals and Petrochemicals,202.0400,0.0102
Fertilisers,70039.3700,3.5408
Pharmaceuticals,211.4000,0.0107
Civil Aviation,2590.6800,0.1310
Coal,361.0000,0.0183
Commerce,4362.8000,0.2206
Industrial Policy and Promotion,3026.5500,0.1530
Posts,9025.5300,0.4563
Telecommunications,18413.8700,0.9309
Electronics and Information Technology,3328.8200,0.1683
Consumer Affairs,1241.6100,0.0628
Food and Public Distribution,140150.0000,7.0852
Corporate Affairs,344.4300,0.0174
Culture,2500.0000,0.1264
Defence(Misc.),118465.8400,5.9890
Defence Services,222456.1400,11.2462
Development of North Eastern Region,830.0100,0.0420
Drinking Water and Sanitation,1471.2000,0.0744
Earth Sciences,1672.4500,0.0845
Environment Forests and Climate Change,1393.3200,0.0704
External Affairs,14662.6600,0.7413
Economic Affairs,16046.1500,0.8112
Financial Services,31975.5200,1.6165
Economic Affairs (Centralised Provisions),603316.3100,30.5004
Expenditure,34961.3800,1.7675
Disinvestment,40.0000,0.0020
Food Processing Industries,636.0200,0.0322
Health and Family Welfare,16371.0800,0.8276
Health Research,1144.8000,0.0579
Heavy Industry,1300.0000,0.0657
Public Enterprises,20.4200,0.0010
Home Affairs,73406.3700,3.7110
Housing and Urban Poverty Alleviation,588.0000,0.0297
School Education and Literacy,8466.5000,0.4280
Higher Education,27585.0000,1.3945
Information and Broadcasting,4083.6300,0.2064
Labour and Employment,6131.3500,0.3100
Election Commission,121.5200,0.0061
Law and Justice,4564.9900,0.2308
Supreme Court of India,189.8800,0.0096
Micro Small and Medium Enterprises,3464.7700,0.1752
Mines,1213.4900,0.0613
Minority Affairs,2824.0000,0.1428
New and Renewable Energy,5035.7900,0.2546
Panchayati Raj,768.3300,0.0388
Parliamentary Affairs,17.3000,0.0009
Personnel Public Grievances and Pensions,1477.6800,0.0747
Petroleum and Natural Gas,29160.6200,1.4742
Planning,293.1400,0.0148
Power,12252.7100,0.6194
The President Parliament Union Public Service Commission and the Secretariat of the Vice President,1275.7000,0.0645
Road Transport and Highways,46983.0000,2.3752
Rural Development,7671.4000,0.3878
Land Resources,230.5100,0.0117
Science and Technology,4470.2000,0.2260
Scientific and Industrial Research,4062.8000,0.2054
Biotechnology,1820.0000,0.0920
Shipping,1531.0000,0.0774
Skill Development and Entrepreneurship,1804.2800,0.0912
Social Justice and Empowerment,1934.3500,0.0978
Empowerment of Persons with Disabilities,783.5500,0.0396
Space,7509.1400,0.3796
Statistics and Programme Implementation,772.8200,0.0391
Steel,85.6200,0.0043
Textiles,4594.8200,0.2323
Tourism,1590.3200,0.0804
Tribal Affairs,399.2800,0.0202
Urban Development,17461.6000,0.8828
Water Resources River Development and Ganga Rejuvenation,4566.8000,0.2309
Women and Child Development,3094.3200,0.1564
Youth Affairs and Sports,1592.0000,0.0805
Railways,45000.0000,2.2750
II. STATE PLANS TOTAL (A+B),234372.3600,11.8486
A. STATE PLANS,232772.3600,11.7677
a. Agriculture Cooperation and Farmers Welfare,12739.9600,0.6441
b. Animal Husbandry Dairying and Fisheries,540.2300,0.0273
c. Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy ( AYUSH),394.0000,0.0199
d. Commerce,,
e. Electronics and Information Technology,,
f. Drinking Water and Sanitation,12537.0000,0.6338
g. Environment Forests and Climate Change,856.4200,0.0433
h. Economic Affairs (Centralised Provisions),14850.0000,0.7507
i. Food Processing Industries,,
j. Health and Family Welfare,20510.5900,1.0369
k. Home Affairs,1813.1100,0.0917
l. Housing and Urban Poverty Alleviation,4795.9200,0.2425
m. School Education and Literacy,34807.2800,1.7597
n. Higher Education,1180.0000,0.0597
o. Labour and Employment,111.2500,0.0056
p. Law and Justice,460.0100,0.0233
q. Minority Affairs,991.7500,0.0501
r. Panchayati Raj,,
s. Road Transport and Highways,10833.0000,0.5477
t. Rural Development,78298.0500,3.9583
u. Land Resources,1477.8500,0.0747
v. Social Justice and Empowerment,4617.1000,0.2334
w. Empowerment of Persons with Disabilities,0.0100,0.0000
x. Statistics and Programme Implementation,3980.0100,0.2012
y. Textiles,,
z. Tribal Affairs,4427.2200,0.2238
aa. Urban Development,6668.4000,0.3371
bb. Water Resources River Development and Ganga Rejuvenation,1625.2700,0.0822
cc. Women and Child Development,14257.9300,0.7208
dd. Youth Affairs and Sports,,
B. DONER (gg+hh),1600.0000,0.0809
gg. Grants from Central Pool of Resources for North Eastern Region and Sikkim,,
hh. North Eastern Region,1600.0000,0.0809
,,
III. UNION TERRITORIES (A + B),14179.6100,0.7168
A. UNION TERRITORIES WITH LEGISLATURE (1 + 2 + 3),3510.9500,0.1775
(2) Puducherry,1409.0000,0.0712
,,
(3) UT Schemes(Others),1248.9500,0.0631
B. UNION TERRITORIES WITHOUT LEGISLATURE (4 + 5 + 6 + 7 + 8),10668.6600,0.5393
(4) Andaman and Nicobar Islands,4072.0200,0.2059
(5) Chandigarh,3544.5400,0.1792
(6) Dadra and Nagar Haveli,1060.8400,0.0536
(7) Daman and Diu,766.7200,0.0388
(8) Lakshadweep,1224.5400,0.0619
IV. Total Central Assistance for States and UTs (II + III),248551.9700,12.5654
