Fiscal_Year,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Current_Account_GDP
05-06,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,-0.988988302952292
06-07,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,-0.66371764877261
07-08,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,-2.58337749259838
08-09,7.86188883286074,9.1,45.92,2.5,-1.3,0.0,1.0,3.08669805921981,6.2,-1.95146209111802
09-10,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,-3.25348368945179
10-11,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,-3.42928468606061
11-12,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,-5.00488971805303
12-13,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,-2.64566711733892
13-14,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,-1.33950896483453
14-15,7.99625378571471,5.9,61.14,4.1,3.4,1.0,0.0,7.41022760508854,9.4,-1.06754907167965
15-16,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,-0.52788060603752
16-17,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,-1.43948820320989
17-18,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,-2.42697545810527
18-19,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,-1.04961203910072
19-20,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,-1.22362111042791
20-21,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,-1.05524166809383
21-22,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,-2.36247481487452
22-23,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,-0.878449448896405
23-24,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,-0.828801355740078
24-25,,4.6,86.83,4.8,3.0,,,6.48422363033757,5.4,
