Base_Ministry,Sector_12
Agricultural Research and Education,agriculture forestry fishing
Agriculture and Cooperation,agriculture forestry fishing
Andaman & Nicobar Islands,regional and development
Animal Husbandry and Dairying,agriculture forestry fishing
Atomic Energy,energy and natural resources
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",social and services
Biotechnology,science and innovation
Chemicals and Petro-Chemicals,economic services
Civil Aviation,infrastructure and transport
Coal,energy and natural resources
Commerce,economic services
Company Affairs,governance and administration
Consumer Affairs,food distribution
Culture,communication broadcasting culture and toursim
Defence (Civil estimates),defense security
Defence Services,defense security
Development of North Eastern Region,regional and development
Drinking Water Supply,agriculture forestry fishing
Economic Affairs (centralised provisions),economic services
Elementary Education and Literacy,social and services
Environment and Forests,energy and natural resources
External Affairs,governance and administration
Fertilisers,energy and natural resources
Food Processing Industries,food distribution
Food and Public Distribution,food distribution
Health,social and services
Heavy Industry,economic services
Home Affairs,defense security
Industrial Policy and Promotion,economic services
Information Technology,communication broadcasting culture and toursim
Information and Broadcasting,communication broadcasting culture and toursim
Labour and Employment,economic services
Land Resources,agriculture forestry fishing
Law and Justice,governance and administration
Mines,energy and natural resources
Panchayati Raj@,agriculture forestry fishing
Parliamentary Affairs,governance and administration
"Personnel, Public Grievances and Pensions",governance and administration
Planning,economic services
Posts,communication broadcasting culture and toursim
Power,energy and natural resources
Public Enterprises,economic services
Road Transport and Highways,infrastructure and transport
Rural Development,agriculture forestry fishing
Science and Technology,science and innovation
Scientific and Industrial Research,science and innovation
Secondary Education and Higher Education,social and services
Shipping,infrastructure and transport
Small Scale Industries,economic services
Social Justice and Empowerment,social and services
Space,science and innovation
Statistics and Programme Implementation,economic services
Steel,economic services
Telecommunications,communication broadcasting culture and toursim
Textiles,economic services
Tourism,communication broadcasting culture and toursim
Tribal Affairs,regional and development
Urban Development,infrastructure and transport
Water Resources,energy and natural resources
Women and Child Development,social and services
Youth Affairs and Sports,social and services
