Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Sector_Share_Lag1,Sector_Share_Growth,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Trend,Inflation_x_Election,GDPGrowth_x_Election
agriculture forestry fishing,05-06,27237.86,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,18.2,,,,,,1,0.0,0.0
agriculture forestry fishing,06-07,38240.82,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,17.9,18.2,-0.016483516483516536,27237.86,,0.4039583139057179,2,0.0,0.0
agriculture forestry fishing,07-08,44713.380000000005,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,17.7,17.9,-0.011173184357541888,38240.82,27237.86,0.16925787679239113,3,0.0,0.0
agriculture forestry fishing,09-10,86589.42,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,17.6,17.7,-0.005649717514124131,44713.380000000005,38240.82,0.9365438264787853,4,12.3,8.49758470221235
agriculture forestry fishing,10-11,93610.87,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,17.6,17.6,0.0,86589.42,44713.380000000005,0.08108900602406166,5,0.0,0.0
agriculture forestry fishing,11-12,104371.66,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,17.5,17.6,-0.005681818181818232,93610.87,86589.42,0.11495235542624482,6,0.0,0.0
agriculture forestry fishing,12-13,109450.59,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,17.1,17.5,-0.022857142857142798,104371.66,93610.87,0.048661964368488464,7,0.0,0.0
agriculture forestry fishing,13-14,115835.73,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,17.0,17.1,-0.005847953216374324,109450.59,104371.66,0.05833810489281044,8,0.0,0.0
agriculture forestry fishing,15-16,21637.71,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,16.1,17.0,-0.05294117647058816,115835.73,109450.59,-0.8132034908400025,9,0.0,0.0
agriculture forestry fishing,16-17,41329.78,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,15.6,16.1,-0.03105590062111807,21637.71,115835.73,0.910081057561082,10,0.0,0.0
agriculture forestry fishing,17-18,179585.82,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,15.0,15.6,-0.038461538461538436,41329.78,21637.71,3.345191772131379,11,0.0,0.0
agriculture forestry fishing,18-19,195697.09,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,14.6,15.0,-0.026666666666666727,179585.82,41329.78,0.08971348628750309,12,0.0,0.0
agriculture forestry fishing,19-20,279726.11,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,14.2,14.6,-0.0273972602739726,195697.09,179585.82,0.42938308382613144,13,4.8,5.77772470686801
agriculture forestry fishing,20-21,290868.94999999995,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,14.5,14.2,0.021126760563380254,279726.11,195697.09,0.03983482271283134,14,0.0,0.0
agriculture forestry fishing,21-22,329266.55,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,14.3,14.5,-0.013793103448275779,290868.94999999995,279726.11,0.1320099653125575,15,0.0,0.0
agriculture forestry fishing,22-23,219625.78000000003,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,14.0,14.3,-0.020979020979021046,329266.55,290868.94999999995,-0.3329848416123653,16,0.0,0.0
agriculture forestry fishing,23-24,253185.88,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,15.5,14.0,0.1071428571428572,219625.78000000003,329266.55,0.1528058318108192,17,0.0,0.0
communication broadcasting culture and toursim,05-06,8893.52,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,16.7,,,,,,1,0.0,0.0
communication broadcasting culture and toursim,06-07,8686.48,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,17.0,16.7,0.017964071856287456,8893.52,,-0.02327987118711161,2,0.0,0.0
communication broadcasting culture and toursim,07-08,9808.84,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,17.1,17.0,0.00588235294117645,8686.48,8893.52,0.12920768826958673,3,0.0,0.0
communication broadcasting culture and toursim,09-10,27810.86,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,17.4,17.1,0.01754385964912264,9808.84,8686.48,1.8352853140636407,4,12.3,8.49758470221235
communication broadcasting culture and toursim,10-11,26793.57,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,17.6,17.4,0.011494252873563315,27810.86,9808.84,-0.03657887602181309,5,0.0,0.0
communication broadcasting culture and toursim,11-12,21702.46,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,17.7,17.6,0.005681818181818121,26793.57,27810.86,-0.19001237983590846,6,0.0,0.0
communication broadcasting culture and toursim,12-13,35015.68,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,17.8,17.7,0.005649717514124353,21702.46,26793.57,0.6134429000214723,7,0.0,0.0
communication broadcasting culture and toursim,13-14,38654.68,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,17.8,17.8,0.0,35015.68,21702.46,0.10392487022956565,8,0.0,0.0
communication broadcasting culture and toursim,15-16,34711.33,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,17.8,17.8,0.0,38654.68,35015.68,-0.10201481424758918,9,0.0,0.0
communication broadcasting culture and toursim,16-17,59671.0,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,18.1,17.8,0.016853932584269593,34711.33,38654.68,0.7190640635204699,10,0.0,0.0
communication broadcasting culture and toursim,17-18,49264.71,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,18.2,18.1,0.0055248618784529135,59671.0,34711.33,-0.17439442945484407,11,0.0,0.0
communication broadcasting culture and toursim,18-19,98490.44,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,18.3,18.2,0.005494505494505475,49264.71,59671.0,0.9992087642452376,12,0.0,0.0
