sector,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
agriculture forestry fishing,18.2,17.9,17.7,17.7,17.6,17.6,17.5,17.1,17.0,16.5,16.1,15.6,15.0,14.6,14.2,14.5,14.3,14.0,15.5,15.0
communication broadcasting culture and toursim,16.7,17.0,17.1,17.3,17.4,17.6,17.7,17.8,17.8,17.5,17.8,18.1,18.2,18.3,18.2,18.6,18.6,18.5,17.5,17.5
defense security,1.8,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
economic services,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.1,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.1,5.2,5.3,5.3,5.3
energy and natural resources,3.5,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.8,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.2,4.2,4.3,4.3
food distribution,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.7,1.7,1.7
governance and administration,5.3,5.3,5.2,5.2,5.2,5.2,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.3,5.4,5.3,5.3,5.3
infrastructure and transport,2.8,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.5,3.5
regional and development,2.8,3.0,3.2,3.5,4.0,4.2,4.5,4.3,4.1,4.0,3.8,3.6,3.4,3.2,3.0,3.1,3.2,3.3,3.3,3.1
science and innovation,0.74,0.77,0.77,0.82,0.82,0.75,0.84,0.82,0.8,0.78,0.69,0.75,0.7,0.66,0.66,0.64,0.64,0.65,0.65,0.64
social and services,5.0,5.1,5.2,5.2,5.3,5.3,5.4,5.5,5.6,5.7,5.9,6.0,6.1,6.1,6.4,8.3,8.6,7.2,6.5,6.0
