Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
agriculture forestry fishing,05-06,27237.86,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
agriculture forestry fishing,06-07,38240.82,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
agriculture forestry fishing,07-08,44713.380000000005,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
agriculture forestry fishing,09-10,86589.42,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
agriculture forestry fishing,10-11,93610.87,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
agriculture forestry fishing,11-12,104371.66,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
agriculture forestry fishing,12-13,109450.59,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
agriculture forestry fishing,13-14,115835.73,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
agriculture forestry fishing,15-16,21637.71,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
agriculture forestry fishing,16-17,41329.78,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
agriculture forestry fishing,17-18,179585.82,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
agriculture forestry fishing,18-19,195697.09,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
agriculture forestry fishing,19-20,279726.11,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
agriculture forestry fishing,20-21,290868.94999999995,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
agriculture forestry fishing,21-22,329266.55,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
agriculture forestry fishing,22-23,219625.78000000003,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
agriculture forestry fishing,23-24,253185.88,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
