Sector_12,Fiscal_Year,Budget_Amount
agriculture forestry fishing,05-06,27237.86
agriculture forestry fishing,06-07,38240.82
agriculture forestry fishing,07-08,44713.380000000005
agriculture forestry fishing,09-10,86589.42
agriculture forestry fishing,10-11,93610.87
agriculture forestry fishing,11-12,104371.66
agriculture forestry fishing,12-13,109450.59
agriculture forestry fishing,13-14,115835.73
agriculture forestry fishing,15-16,21637.71
agriculture forestry fishing,16-17,41329.78
agriculture forestry fishing,17-18,179585.82
agriculture forestry fishing,18-19,195697.09
agriculture forestry fishing,19-20,279726.11
agriculture forestry fishing,20-21,290868.94999999995
agriculture forestry fishing,21-22,329266.55
agriculture forestry fishing,22-23,219625.78000000003
agriculture forestry fishing,23-24,253185.88
communication broadcasting culture and toursim,05-06,8893.52
communication broadcasting culture and toursim,06-07,8686.48
communication broadcasting culture and toursim,07-08,9808.84
communication broadcasting culture and toursim,09-10,27810.86
communication broadcasting culture and toursim,10-11,26793.57
communication broadcasting culture and toursim,11-12,21702.46
communication broadcasting culture and toursim,12-13,35015.68
communication broadcasting culture and toursim,13-14,38654.68
communication broadcasting culture and toursim,15-16,34711.33
communication broadcasting culture and toursim,16-17,59671.0
communication broadcasting culture and toursim,17-18,49264.71
communication broadcasting culture and toursim,18-19,98490.44
communication broadcasting culture and toursim,19-20,181207.1
communication broadcasting culture and toursim,20-21,230130.90999999997
communication broadcasting culture and toursim,21-22,214101.45
communication broadcasting culture and toursim,22-23,250087.59
communication broadcasting culture and toursim,23-24,262565.88
defense security,05-06,113967.82
defense security,06-07,48266.09
defense security,07-08,54387.39
defense security,09-10,87219.78
defense security,10-11,329832.97
defense security,11-12,249362.15
defense security,12-13,141818.58
defense security,13-14,156254.41999999998
defense security,15-16,192356.3
defense security,16-17,310338.05
defense security,17-18,265626.11
defense security,18-19,37205.54
defense security,19-20,39026.049999999996
defense security,20-21,37002.0
defense security,21-22,38135.08
defense security,22-23,47821.0
defense security,23-24,51126.31
economic services,05-06,170679.0
economic services,06-07,182168.45
economic services,07-08,202392.49
economic services,09-10,275949.66
economic services,10-11,300147.1
economic services,11-12,342764.48
economic services,12-13,404609.2
economic services,13-14,463665.78
economic services,15-16,587662.1499999999
economic services,16-17,625239.6900000001
economic services,17-18,51887.06
economic services,18-19,51204.78
economic services,19-20,55617.17
economic services,20-21,71966.5
economic services,21-22,96539.95
economic services,22-23,76252.66
economic services,23-24,61298.689999999995
energy and natural resources,05-06,27353.059999999998
energy and natural resources,06-07,31640.27
energy and natural resources,07-08,37302.65
energy and natural resources,09-10,71246.0
energy and natural resources,10-11,73680.87
energy and natural resources,11-12,73942.15
energy and natural resources,12-13,85874.31
energy and natural resources,13-14,92370.92
energy and natural resources,15-16,95909.92000000001
energy and natural resources,16-17,101509.17
energy and natural resources,17-18,107896.06000000001
energy and natural resources,18-19,110532.90000000001
energy and natural resources,19-20,121172.29
energy and natural resources,20-21,120093.16
energy and natural resources,21-22,127492.48
energy and natural resources,22-23,167959.67
energy and natural resources,23-24,246136.28
food distribution,05-06,26909.989999999998
food distribution,06-07,24967.5
food distribution,07-08,26592.94
food distribution,09-10,54079.5
food distribution,10-11,57017.97
food distribution,11-12,62796.66
food distribution,12-13,77539.99
food distribution,13-14,92310.56
food distribution,15-16,125972.28
food distribution,16-17,142027.63
food distribution,17-18,155031.69
food distribution,18-19,177344.27000000002
food distribution,19-20,195709.31000000003
food distribution,20-21,125768.37
food distribution,21-22,258257.06
food distribution,22-23,220626.44999999998
food distribution,23-24,209052.25
governance and administration,05-06,4849.17
governance and administration,06-07,5064.3
governance and administration,07-08,5823.700000000001
governance and administration,09-10,8884.45
governance and administration,10-11,8025.030000000001
governance and administration,11-12,9554.5
governance and administration,12-13,12349.48
governance and administration,13-14,14822.970000000001
governance and administration,15-16,19136.36
governance and administration,16-17,21067.06
governance and administration,17-18,20831.13
governance and administration,18-19,66410.34
governance and administration,19-20,68254.9
governance and administration,20-21,81494.2
governance and administration,21-22,77450.87
governance and administration,22-23,87283.70999999999
governance and administration,23-24,94545.62
infrastructure and transport,05-06,17188.47
infrastructure and transport,06-07,6404.02
infrastructure and transport,07-08,7497.71
infrastructure and transport,09-10,27453.309999999998
infrastructure and transport,10-11,34495.16
infrastructure and transport,11-12,36931.34
infrastructure and transport,12-13,45042.49
infrastructure and transport,13-14,46900.83
infrastructure and transport,15-16,60815.81
infrastructure and transport,16-17,68566.28
infrastructure and transport,17-18,103586.84
infrastructure and transport,18-19,121249.12
