Sector_12,Base_Ministry,Fiscal_Year,Year_End,Budget_Amount,Sector_Total,Ministry_Share_Sector
agriculture forestry fishing,Agricultural Research and Education,05-06,2006,1942.0,27237.86,0.07129781855109028
agriculture forestry fishing,Agricultural Research and Education,06-07,2007,2160.0,38240.82,0.056484144429957306
agriculture forestry fishing,Agricultural Research and Education,07-08,2008,2460.0,44713.380000000005,0.055017088844547195
agriculture forestry fishing,Agricultural Research and Education,09-10,2010,3241.4,86589.42,0.03743413456285999
agriculture forestry fishing,Agricultural Research and Education,10-11,2011,3818.05,93610.87,0.040786395853387544
agriculture forestry fishing,Agricultural Research and Education,11-12,2012,4957.6,104371.66,0.04749948405534606
agriculture forestry fishing,Agricultural Research and Education,12-13,2013,5392.0,109450.59,0.049264238776602305
agriculture forestry fishing,Agricultural Research and Education,13-14,2014,5729.17,115835.73,0.04945943708387732
agriculture forestry fishing,Agricultural Research and Education,15-16,2016,6320.0,21637.71,0.2920826649400514
agriculture forestry fishing,Agricultural Research and Education,16-17,2017,6620.0,41329.78,0.16017506021082134
agriculture forestry fishing,Agricultural Research and Education,17-18,2018,6800.0,179585.82,0.03786490492400792
agriculture forestry fishing,Agricultural Research and Education,18-19,2019,7800.0,195697.09,0.03985751653231021
agriculture forestry fishing,Agricultural Research and Education,19-20,2020,8078.76,279726.11,0.028880965026825706
agriculture forestry fishing,Agricultural Research and Education,20-21,2021,8362.58,290868.94999999995,0.02875033584712291
agriculture forestry fishing,Agricultural Research and Education,21-22,2022,8513.62,329266.55,0.025856316106206357
agriculture forestry fishing,Agricultural Research and Education,22-23,2023,8513.62,219625.78000000003,0.038764210649587676
agriculture forestry fishing,Agricultural Research and Education,23-24,2024,9504.0,253185.88,0.03753763835487192
agriculture forestry fishing,Agriculture and Cooperation,05-06,2006,30.0,27237.86,0.0011014081135595822
agriculture forestry fishing,Agriculture and Cooperation,06-07,2007,40.0,38240.82,0.001046002674628839
agriculture forestry fishing,Agriculture and Cooperation,07-08,2008,40.0,44713.380000000005,0.0008945868104804423
agriculture forestry fishing,Agriculture and Cooperation,09-10,2010,7715.6,86589.42,0.08910557432998166
agriculture forestry fishing,Agriculture and Cooperation,10-11,2011,8885.97,93610.87,0.09492455309944241
agriculture forestry fishing,Agriculture and Cooperation,11-12,2012,9662.0,104371.66,0.09257302221695046
agriculture forestry fishing,Agriculture and Cooperation,12-13,2013,11313.22,109450.59,0.10336371873372267
agriculture forestry fishing,Agriculture and Cooperation,13-14,2014,11979.5,115835.73,0.10341800409942598
agriculture forestry fishing,Agriculture and Cooperation,15-16,2016,6203.85,21637.71,0.2867147216595472
agriculture forestry fishing,Agriculture and Cooperation,16-17,2017,23228.83,41329.78,0.5620361395584492
agriculture forestry fishing,Agriculture and Cooperation,17-18,2018,41855.0,179585.82,0.2330640581756399
agriculture forestry fishing,Agriculture and Cooperation,18-19,2019,46700.0,195697.09,0.238634105392165
agriculture forestry fishing,Agriculture and Cooperation,19-20,2020,129585.21,279726.11,0.46325746995873934
agriculture forestry fishing,Agriculture and Cooperation,20-21,2021,134399.77,290868.94999999995,0.4620629668446907
agriculture forestry fishing,Agriculture and Cooperation,21-22,2022,123017.57,329266.55,0.37361089366654465
agriculture forestry fishing,Agriculture and Cooperation,22-23,2023,900.0,219625.78000000003,0.004097879584081613
agriculture forestry fishing,Agriculture and Cooperation,23-24,2024,1150.38,253185.88,0.004543618309204289
agriculture forestry fishing,Animal Husbandry and Dairying,05-06,2006,710.69,27237.86,0.02609199107418865
agriculture forestry fishing,Animal Husbandry and Dairying,06-07,2007,819.86,38240.82,0.02143939382053
agriculture forestry fishing,Animal Husbandry and Dairying,07-08,2008,955.0,44713.380000000005,0.021358260100220558
agriculture forestry fishing,Animal Husbandry and Dairying,09-10,2010,1206.28,86589.42,0.013931032220795565
agriculture forestry fishing,Animal Husbandry and Dairying,10-11,2011,1398.7,93610.87,0.014941640858588326
agriculture forestry fishing,Animal Husbandry and Dairying,11-12,2012,1696.25,104371.66,0.01625201707053428
agriculture forestry fishing,Animal Husbandry and Dairying,12-13,2013,2009.37,109450.59,0.0183586950056642
agriculture forestry fishing,Animal Husbandry and Dairying,13-14,2014,2110.16,115835.73,0.01821683171505027
agriculture forestry fishing,Animal Husbandry and Dairying,15-16,2016,1227.43,21637.71,0.05672642807395053
agriculture forestry fishing,Animal Husbandry and Dairying,16-17,2017,1339.51,41329.78,0.03241028623912346
agriculture forestry fishing,Animal Husbandry and Dairying,17-18,2018,2371.0,179585.82,0.013202601408062172
agriculture forestry fishing,Animal Husbandry and Dairying,18-19,2019,3100.0,195697.09,0.015840807852584828
agriculture forestry fishing,Animal Husbandry and Dairying,19-20,2020,3100.0,279726.11,0.011082269009496468
agriculture forestry fishing,Animal Husbandry and Dairying,20-21,2021,3289.13,290868.94999999995,0.011307944694681233
agriculture forestry fishing,Animal Husbandry and Dairying,21-22,2022,3101.98,329266.55,0.009420878009017315
agriculture forestry fishing,Animal Husbandry and Dairying,22-23,2023,3918.84,219625.78000000003,0.017843260476980434
agriculture forestry fishing,Animal Husbandry and Dairying,23-24,2024,4327.85,253185.88,0.017093567777160402
agriculture forestry fishing,Drinking Water Supply,05-06,2006,4751.42,27237.86,0.17444175129764233
agriculture forestry fishing,Drinking Water Supply,06-07,2007,6001.7,38240.82,0.15694485630799757
agriculture forestry fishing,Drinking Water Supply,07-08,2008,7561.74,44713.380000000005,0.16911582170705947
agriculture forestry fishing,Drinking Water Supply,09-10,2010,9202.84,86589.42,0.10628134476475302
agriculture forestry fishing,Drinking Water Supply,10-11,2011,10583.78,93610.87,0.11306144254401226
agriculture forestry fishing,Drinking Water Supply,11-12,2012,11005.24,104371.66,0.10544279931927882
agriculture forestry fishing,Drinking Water Supply,12-13,2013,14005.24,109450.59,0.12795947468168056
agriculture forestry fishing,Drinking Water Supply,13-14,2014,15265.7,115835.73,0.13178748905885948
agriculture forestry fishing,Drinking Water Supply,15-16,2016,238.87,21637.71,0.011039523128833875
agriculture forestry fishing,Drinking Water Supply,16-17,2017,1471.2,41329.78,0.035596608547154136
agriculture forestry fishing,Drinking Water Supply,17-18,2018,20010.79,179585.82,0.11142745011827772
agriculture forestry fishing,Drinking Water Supply,18-19,2019,22356.6,195697.09,0.1142408402700316
agriculture forestry fishing,Drinking Water Supply,19-20,2020,18216.34,279726.11,0.06512205814466158
agriculture forestry fishing,Drinking Water Supply,20-21,2021,21518.1,290868.94999999995,0.07397867665146109
agriculture forestry fishing,Drinking Water Supply,21-22,2022,60030.45,329266.55,0.18231566492253767
agriculture forestry fishing,Drinking Water Supply,22-23,2023,67221.12,219625.78000000003,0.30607117251900023
agriculture forestry fishing,Drinking Water Supply,23-24,2024,77223.0,253185.88,0.30500516063534033
agriculture forestry fishing,Land Resources,05-06,2006,1399.44,27237.86,0.05137848568132739
agriculture forestry fishing,Land Resources,06-07,2007,1421.7,38240.82,0.037177550062995515
agriculture forestry fishing,Land Resources,07-08,2008,1503.78,44713.380000000005,0.033631543846606986
agriculture forestry fishing,Land Resources,09-10,2010,2405.64,86589.42,0.027782147056765134
agriculture forestry fishing,Land Resources,10-11,2011,2665.8,93610.87,0.02847746207251359
agriculture forestry fishing,Land Resources,11-12,2012,2706.2,104371.66,0.02592849438247892
agriculture forestry fishing,Land Resources,12-13,2013,3208.2,109450.59,0.029311856610366376
agriculture forestry fishing,Land Resources,13-14,2014,5772.85,115835.73,0.04983652280690941
agriculture forestry fishing,Land Resources,15-16,2016,59.73,21637.71,0.002760458477352733
agriculture forestry fishing,Land Resources,16-17,2017,230.51,41329.78,0.0055773343095462885
agriculture forestry fishing,Land Resources,17-18,2018,2310.36,179585.82,0.012864935550033962
agriculture forestry fishing,Land Resources,18-19,2019,2511.4,195697.09,0.012833098335800498
agriculture forestry fishing,Land Resources,19-20,2020,2227.24,279726.11,0.00796221704151965
agriculture forestry fishing,Land Resources,20-21,2021,2251.24,290868.94999999995,0.0077397054584203645
agriculture forestry fishing,Land Resources,21-22,2022,2170.42,329266.55,0.00659168081300697
agriculture forestry fishing,Land Resources,22-23,2023,2259.34,219625.78000000003,0.010287225843887726
agriculture forestry fishing,Land Resources,23-24,2024,2419.23,253185.88,0.009555153707623821
agriculture forestry fishing,Panchayati Raj@,05-06,2006,50.44,27237.86,0.0018518341749315106
agriculture forestry fishing,Panchayati Raj@,06-07,2007,3750.0,38240.82,0.09806275074645365
agriculture forestry fishing,Panchayati Raj@,07-08,2008,4670.0,44713.380000000005,0.10444301012359163
agriculture forestry fishing,Panchayati Raj@,09-10,2010,110.71,86589.42,0.0012785626696656474
agriculture forestry fishing,Panchayati Raj@,10-11,2011,120.71,93610.87,0.0012894870008151832
agriculture forestry fishing,Panchayati Raj@,11-12,2012,200.65,104371.66,0.0019224567281961407
agriculture forestry fishing,Panchayati Raj@,12-13,2013,300.74,109450.59,0.0027477238816163534
agriculture forestry fishing,Panchayati Raj@,13-14,2014,500.7,115835.73,0.004322500492723618
agriculture forestry fishing,Panchayati Raj@,15-16,2016,94.75,21637.71,0.004378929193523714
agriculture forestry fishing,Panchayati Raj@,16-17,2017,768.33,41329.78,0.01859022719211184
agriculture forestry fishing,Panchayati Raj@,17-18,2018,790.79,179585.82,0.004403410024243562
