Sector_12,Fiscal_Year,Year_End,Naive_Lag1_2024,LSTM_L5_U64_DL_2025,LSTM_L5_U64_Blend_2025,alpha
agriculture forestry fishing,24-25,2025,253185.88,260548.83564316272,253185.88,0.0
communication broadcasting culture and toursim,24-25,2025,262565.88,333950.4214798021,262565.88,0.0
defense security,24-25,2025,51126.31,55033.77009272456,51126.31,0.0
economic services,24-25,2025,61298.689999999995,67601.051007874,61298.689999999995,0.0
energy and natural resources,24-25,2025,246136.28,238141.43583889722,246136.28,0.0
food distribution,24-25,2025,209052.25,196977.74088573456,209052.25,0.0
governance and administration,24-25,2025,94545.62,97865.12768595933,94545.62,0.0
infrastructure and transport,24-25,2025,352198.41000000003,323039.0788898653,352198.41000000003,0.0
regional and development,24-25,2025,31008.08,32966.45983894348,31008.08,0.0
science and innovation,24-25,2025,28905.33,32584.65185420394,28905.33,0.0
social and services,24-25,2025,252239.36,260989.21830383298,252239.36,0.0
