Sector_12,Fiscal_Year,Year_End,Naive_Lag1_2024,TCN_L5_F64_K3_DL_2025,TCN_L5_F64_K3_Blend_2025,alpha
agriculture forestry fishing,24-25,2025,253185.88,282826.2200247097,272452.10101606126,0.65
communication broadcasting culture and toursim,24-25,2025,262565.88,242410.02565660002,249464.57467679,0.65
defense security,24-25,2025,51126.31,32931.6666065824,39299.79179427856,0.65
economic services,24-25,2025,61298.689999999995,49425.40682061672,53581.055933400865,0.65
energy and natural resources,24-25,2025,246136.28,187728.86486297607,208171.46016093442,0.65
food distribution,24-25,2025,209052.25,135367.99374875426,161157.48343669027,0.65
governance and administration,24-25,2025,94545.62,73960.36693346739,81165.2055067538,0.65
infrastructure and transport,24-25,2025,352198.41000000003,257715.1236690277,290784.273884868,0.65
regional and development,24-25,2025,31008.08,19341.19290512085,23424.603388328553,0.65
science and innovation,24-25,2025,28905.33,13899.1601251477,19151.319581346004,0.65
social and services,24-25,2025,252239.36,144615.32106170655,182283.73469010924,0.65
