Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,BiGRU_L5_U64_DL_2025,BiGRU_L5_U64_Blend_2025,alpha
agriculture forestry fishing,Agricultural Research and Education,24-25,2025,9504.0,17061.793704986572,11091.13667804718,0.21
agriculture forestry fishing,Agriculture and Cooperation,24-25,2025,1150.38,53769.03520866395,12200.297593819429,0.21
agriculture forestry fishing,Animal Husbandry and Dairying,24-25,2025,4327.85,5633.110381811858,4601.95468018049,0.21
agriculture forestry fishing,Drinking Water Supply,24-25,2025,77223.0,21985.598012030125,65623.14558252633,0.21
agriculture forestry fishing,Land Resources,24-25,2025,2419.23,1609.9831095045804,2249.288152995962,0.21
agriculture forestry fishing,Panchayati Raj@,24-25,2025,1016.42,1676.270011498928,1154.9885024147748,0.21
agriculture forestry fishing,Rural Development,24-25,2025,157545.0,37290.51623761654,132291.55840989947,0.21
communication broadcasting culture and toursim,Culture,24-25,2025,115531.79,144643.7735531449,121645.30654616044,0.21
communication broadcasting culture and toursim,Information Technology,24-25,2025,16549.04,26947.893961067202,18732.799331824113,0.21
communication broadcasting culture and toursim,Information and Broadcasting,24-25,2025,4692.0,16627.534752845764,7198.462298097611,0.21
communication broadcasting culture and toursim,Posts,24-25,2025,25814.0,52238.17312717438,31363.07635670662,0.21
communication broadcasting culture and toursim,Telecommunications,24-25,2025,97579.05,161661.2492629409,111036.3118452176,0.21
communication broadcasting culture and toursim,Tourism,24-25,2025,2400.0,8607.809829711914,3703.640064239502,0.21
defense security,Defence (Civil estimates),24-25,2025,22612.5,16876.74885392189,21407.992259323597,0.21
defense security,Defence Services,24-25,2025,22612.5,19797.964008897543,22021.447441868484,0.21
defense security,Home Affairs,24-25,2025,5901.31,14125.381167387963,7628.364945151472,0.21
economic services,Chemicals and Petro-Chemicals,24-25,2025,173.45,175.4967808306217,173.87982397443056,0.21
economic services,Commerce,24-25,2025,5254.58,7708.057358739376,5769.8102453352685,0.21
economic services,Economic Affairs (centralised provisions),24-25,2025,5901.31,44425.28044880867,13991.34379424982,0.21
economic services,Heavy Industry,24-25,2025,6171.63,3448.168189508915,5599.7030197968725,0.21
economic services,Industrial Policy and Promotion,24-25,2025,8200.63,14446.095044305323,9512.177659304118,0.21
economic services,Labour and Employment,24-25,2025,13221.73,22240.408343758583,15115.652452189302,0.21
economic services,Planning,24-25,2025,824.39,508.2838691717386,758.0077125260651,0.21
economic services,Public Enterprises,24-25,2025,33.05,24.658624979853627,31.287811245769262,0.21
economic services,Small Scale Industries,24-25,2025,6171.63,2574.797776825726,5416.295233133403,0.21
economic services,Statistics and Programme Implementation,24-25,2025,10886.8,16804.22815346718,12129.459912228107,0.21
economic services,Steel,24-25,2025,70.15,62.104169955849656,68.46037569072844,0.21
economic services,Textiles,24-25,2025,4389.34,7439.310432357788,5029.833790795135,0.21
energy and natural resources,Atomic Energy,24-25,2025,25078.49,37678.86312579036,27724.568356415977,0.21
energy and natural resources,Coal,24-25,2025,192.32,1656.97578125,499.8977140625,0.21
energy and natural resources,Environment and Forests,24-25,2025,3079.4,3160.353202843666,3096.4001725971702,0.21
energy and natural resources,Fertilisers,24-25,2025,175148.48,105156.91866594316,160450.25211984807,0.21
energy and natural resources,Mines,24-25,2025,1911.6,5402.547072887421,2644.6988853063585,0.21
energy and natural resources,Power,24-25,2025,20671.32,34147.43266147614,23501.30365890999,0.21
energy and natural resources,Water Resources,24-25,2025,20054.67,48456.30726426601,26019.013825495862,0.21
food distribution,Consumer Affairs,24-25,2025,250.66,7099.549783935547,1688.9268546264648,0.21
food distribution,Food Processing Industries,24-25,2025,3287.65,4775.065845119953,3600.0073274751903,0.21
food distribution,Food and Public Distribution,24-25,2025,205513.94,156778.7195338154,195279.54370210125,0.21
governance and administration,Company Affairs,24-25,2025,756.19,2295.1423646950725,1079.3699965859653,0.21
governance and administration,External Affairs,24-25,2025,18050.0,53086.56884431839,25407.679457306862,0.21
governance and administration,Law and Justice,24-25,2025,3975.43,23343.380819249152,8042.699672042321,0.21
governance and administration,Parliamentary Affairs,24-25,2025,63.0,136.18543338775635,78.36894101142883,0.21
governance and administration,"Personnel, Public Grievances and Pensions",24-25,2025,71701.0,82190.01565730572,73903.6932880342,0.21
infrastructure and transport,Civil Aviation,24-25,2025,3113.36,14364.662504234315,5476.133525889206,0.21
infrastructure and transport,Road Transport and Highways,24-25,2025,270434.71,175789.5507698679,250559.2265616723,0.21
infrastructure and transport,Shipping,24-25,2025,2218.74,3175.961172380447,2419.7564461998936,0.21
infrastructure and transport,Urban Development,24-25,2025,76431.6,153410.48275365832,92597.16537826826,0.21
regional and development,Andaman & Nicobar Islands,24-25,2025,192.32,6457.0839880371095,1507.920437487793,0.21
regional and development,Development of North Eastern Region,24-25,2025,5892.0,11904.830626487732,7154.694431562424,0.21
regional and development,Tribal Affairs,24-25,2025,24923.76,20470.664754824636,23988.609998513173,0.21
science and innovation,Biotechnology,24-25,2025,2683.86,5576.569834842682,3291.3290653169634,0.21
science and innovation,Science and Technology,24-25,2025,7931.05,12636.038863521815,8919.097661339581,0.21
science and innovation,Scientific and Industrial Research,24-25,2025,5746.51,9926.790279119015,6624.368858614993,0.21
science and innovation,Space,24-25,2025,12543.91,21902.098166964053,14509.129515062452,0.21
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",24-25,2025,3647.5,13679.251173138618,5754.1677463591095,0.21
social and services,Elementary Education and Literacy,24-25,2025,68804.85,80755.35668849945,71314.4564045849,0.21
social and services,Health,24-25,2025,86175.0,140321.3062673807,97545.72431614995,0.21
social and services,Secondary Education and Higher Education,24-25,2025,44094.62,173725.06777230263,71317.01403218356,0.21
social and services,Social Justice and Empowerment,24-25,2025,20671.32,64859.27382599831,29950.790303459646,0.21
social and services,Women and Child Development,24-25,2025,25448.75,82441.2146550417,37417.16757755876,0.21
social and services,Youth Affairs and Sports,24-25,2025,3397.32,11386.43885038376,5075.03495858059,0.21
