Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,GRU_L5_U64_DL_2025,GRU_L5_U64_Blend_2025,alpha
agriculture forestry fishing,Agricultural Research and Education,24-25,2025,9504.0,8256.574281692505,8256.574281692505,1.0
agriculture forestry fishing,Agriculture and Cooperation,24-25,2025,1150.38,1813.2175833678248,1813.2175833678248,1.0
agriculture forestry fishing,Animal Husbandry and Dairying,24-25,2025,4327.85,3629.7468849718575,3629.7468849718575,1.0
agriculture forestry fishing,Drinking Water Supply,24-25,2025,77223.0,67933.41410118341,67933.41410118341,1.0
agriculture forestry fishing,Land Resources,24-25,2025,2419.23,2044.2410557687283,2044.2410557687283,1.0
agriculture forestry fishing,Panchayati Raj@,24-25,2025,1016.42,876.817900750637,876.817900750637,1.0
agriculture forestry fishing,Rural Development,24-25,2025,157545.0,138279.27029192448,138279.27029192448,1.0
communication broadcasting culture and toursim,Culture,24-25,2025,115531.79,97969.27652267515,97969.27652267515,1.0
communication broadcasting culture and toursim,Information Technology,24-25,2025,16549.04,15094.654872007372,15094.654872007372,1.0
communication broadcasting culture and toursim,Information and Broadcasting,24-25,2025,4692.0,4281.266371965408,4281.266371965408,1.0
communication broadcasting culture and toursim,Posts,24-25,2025,25814.0,22932.502611994743,22932.502611994743,1.0
communication broadcasting culture and toursim,Telecommunications,24-25,2025,97579.05,80724.56686975659,80724.56686975659,1.0
communication broadcasting culture and toursim,Tourism,24-25,2025,2400.0,2170.3210830688477,2170.3210830688477,1.0
defense security,Defence (Civil estimates),24-25,2025,22612.5,22245.20963653922,22245.20963653922,1.0
defense security,Defence Services,24-25,2025,22612.5,21995.228614658117,21995.228614658117,1.0
defense security,Home Affairs,24-25,2025,5901.31,5107.112660211921,5107.112660211921,1.0
economic services,Chemicals and Petro-Chemicals,24-25,2025,173.45,150.35301633179188,150.35301633179188,1.0
economic services,Commerce,24-25,2025,5254.58,4549.040588012934,4549.040588012934,1.0
economic services,Economic Affairs (centralised provisions),24-25,2025,5901.31,5447.719422158003,5447.719422158003,1.0
economic services,Heavy Industry,24-25,2025,6171.63,4547.048133167625,4547.048133167625,1.0
economic services,Industrial Policy and Promotion,24-25,2025,8200.63,6809.372441707253,6809.372441707253,1.0
economic services,Labour and Employment,24-25,2025,13221.73,11810.546594145299,11810.546594145299,1.0
economic services,Planning,24-25,2025,824.39,646.1279940402508,646.1279940402508,1.0
economic services,Public Enterprises,24-25,2025,33.05,26.307217025756835,26.307217025756835,1.0
economic services,Small Scale Industries,24-25,2025,6171.63,4429.32038985908,4429.32038985908,1.0
economic services,Statistics and Programme Implementation,24-25,2025,10886.8,9166.996508002281,9166.996508002281,1.0
economic services,Steel,24-25,2025,70.15,64.36794072687627,64.36794072687627,1.0
economic services,Textiles,24-25,2025,4389.34,3634.635446443558,3634.635446443558,1.0
energy and natural resources,Atomic Energy,24-25,2025,25078.49,21753.919074137808,21753.919074137808,1.0
