Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,StackedGRU_L5_64_32_DL_2025,StackedGRU_L5_64_32_Blend_2025,alpha
agriculture forestry fishing,Agricultural Research and Education,24-25,2025,9504.0,10352.99758529663,10242.62789920807,0.87
agriculture forestry fishing,Agriculture and Cooperation,24-25,2025,1150.38,1586.5219304823877,1529.8234795196774,0.87
agriculture forestry fishing,Animal Husbandry and Dairying,24-25,2025,4327.85,4627.446247500182,4588.498735325158,0.87
agriculture forestry fishing,Drinking Water Supply,24-25,2025,77223.0,78120.86864304543,78004.14571944953,0.87
agriculture forestry fishing,Land Resources,24-25,2025,2419.23,2610.604101676941,2585.725468458939,0.87
agriculture forestry fishing,Panchayati Raj@,24-25,2025,1016.42,1098.8888469958306,1088.1678968863725,0.87
agriculture forestry fishing,Rural Development,24-25,2025,157545.0,165792.18722820282,164720.05288853645,0.87
communication broadcasting culture and toursim,Culture,24-25,2025,115531.79,128114.03638798236,126478.34435754466,0.87
communication broadcasting culture and toursim,Information Technology,24-25,2025,16549.04,18693.93447538376,18415.09819358387,0.87
communication broadcasting culture and toursim,Information and Broadcasting,24-25,2025,4692.0,5425.493039131165,5330.1389440441135,0.87
communication broadcasting culture and toursim,Posts,24-25,2025,25814.0,29115.736881256104,28686.511086692808,0.87
communication broadcasting culture and toursim,Telecommunications,24-25,2025,97579.05,106569.56093512774,105400.79451356112,0.87
communication broadcasting culture and toursim,Tourism,24-25,2025,2400.0,2841.2418365478516,2783.880397796631,0.87
defense security,Defence (Civil estimates),24-25,2025,22612.5,23424.52589124441,23318.962525382638,0.87
defense security,Defence Services,24-25,2025,22612.5,23127.916033565998,23060.91194920242,0.87
defense security,Home Affairs,24-25,2025,5901.31,6012.7289002275475,5998.244443197966,0.87
economic services,Chemicals and Petro-Chemicals,24-25,2025,173.45,189.35281443595886,187.2854485592842,0.87
economic services,Commerce,24-25,2025,5254.58,5661.670188803672,5608.748464259195,0.87
economic services,Economic Affairs (centralised provisions),24-25,2025,5901.31,6441.71347432375,6371.461022661662,0.87
economic services,Heavy Industry,24-25,2025,6171.63,6453.943214943409,6417.242497000765,0.87
economic services,Industrial Policy and Promotion,24-25,2025,8200.63,8788.753799699543,8712.297705738602,0.87
economic services,Labour and Employment,24-25,2025,13221.73,13605.241133829355,13555.384686431538,0.87
economic services,Planning,24-25,2025,824.39,901.5385844755173,891.5092684937,0.87
economic services,Public Enterprises,24-25,2025,33.05,35.301362150907515,35.00868507128954,0.87
economic services,Small Scale Industries,24-25,2025,6171.63,6472.96661392808,6433.792854117429,0.87
economic services,Statistics and Programme Implementation,24-25,2025,10886.8,11366.097252702712,11303.788609851359,0.87
economic services,Steel,24-25,2025,70.15,76.39554840922357,75.5836271160245,0.87
economic services,Textiles,24-25,2025,4389.34,4738.4038064599035,4693.025511620116,0.87
energy and natural resources,Atomic Energy,24-25,2025,25078.49,26366.91316094637,26199.418150023343,0.87
energy and natural resources,Coal,24-25,2025,192.32,221.51475616455076,217.71943786315916,0.87
energy and natural resources,Environment and Forests,24-25,2025,3079.4,3049.5534966230393,3053.433542062044,0.87
energy and natural resources,Fertilisers,24-25,2025,175148.48,179498.186440506,178932.7246032402,0.87
energy and natural resources,Mines,24-25,2025,1911.6,2065.300141096115,2045.3191227536201,0.87
energy and natural resources,Power,24-25,2025,20671.32,22242.4014127779,22038.160829116772,0.87
energy and natural resources,Water Resources,24-25,2025,20054.67,20639.739563995598,20563.68052067617,0.87
food distribution,Consumer Affairs,24-25,2025,250.66,291.9386300706863,286.5724081614971,0.87
food distribution,Food Processing Industries,24-25,2025,3287.65,3216.594014555216,3225.831292663038,0.87
food distribution,Food and Public Distribution,24-25,2025,205513.94,209459.92344088078,208946.94559356628,0.87
governance and administration,Company Affairs,24-25,2025,756.19,800.8367722439766,795.0326918522596,0.87
governance and administration,External Affairs,24-25,2025,18050.0,18659.337002038956,18580.12319177389,0.87
governance and administration,Law and Justice,24-25,2025,3975.43,4241.595319653749,4206.993828098762,0.87
governance and administration,Parliamentary Affairs,24-25,2025,63.0,63.552584409713745,63.48074843645096,0.87
governance and administration,"Personnel, Public Grievances and Pensions",24-25,2025,71701.0,73274.80322527885,73070.2088059926,0.87
infrastructure and transport,Civil Aviation,24-25,2025,3113.36,3455.0201850700378,3410.604361010933,0.87
infrastructure and transport,Road Transport and Highways,24-25,2025,270434.71,278639.59056397085,277572.95609065465,0.87
infrastructure and transport,Shipping,24-25,2025,2218.74,2358.3240202403067,2340.1780976090668,0.87
infrastructure and transport,Urban Development,24-25,2025,76431.6,80888.75726723671,80309.32682249595,0.87
regional and development,Andaman & Nicobar Islands,24-25,2025,192.32,220.87990314483642,217.16711573600767,0.87
regional and development,Development of North Eastern Region,24-25,2025,5892.0,6124.268310070038,6094.073429760933,0.87
regional and development,Tribal Affairs,24-25,2025,24923.76,26851.102307939527,26600.54780790739,0.87
science and innovation,Biotechnology,24-25,2025,2683.86,2860.311644918919,2837.3729310794592,0.87
science and innovation,Science and Technology,24-25,2025,7931.05,8320.946119773389,8270.259624202848,0.87
science and innovation,Scientific and Industrial Research,24-25,2025,5746.51,5964.5142389476305,5936.173687884439,0.87
science and innovation,Space,24-25,2025,12543.91,13554.37372791171,13423.013443283187,0.87
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",24-25,2025,3647.5,3338.35351601243,3378.5425589308143,0.87
social and services,Elementary Education and Literacy,24-25,2025,68804.85,60802.51876342893,61842.82182418317,0.87
social and services,Health,24-25,2025,86175.0,78097.52167761326,79147.59385952353,0.87
social and services,Secondary Education and Higher Education,24-25,2025,44094.62,39063.23816098571,39717.31780005757,0.87
social and services,Social Justice and Empowerment,24-25,2025,20671.32,18952.4535508132,19175.906189207482,0.87
social and services,Women and Child Development,24-25,2025,25448.75,23101.85847759247,23406.954375505447,0.87
social and services,Youth Affairs and Sports,24-25,2025,3397.32,3127.1922918748855,3162.3088939311506,0.87
