Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,DL_Ensemble_2025,Linear_Ridge_2025,Growth_vs_2024_%
agriculture forestry fishing,Agricultural Research and Education,24-25,2025,9504.0,9719.66777178955,9468.623244438171,2.2692316055297863
agriculture forestry fishing,Agriculture and Cooperation,24-25,2025,1150.38,3568.819731341386,1234.5894581211091,210.22963988780975
agriculture forestry fishing,Animal Husbandry and Dairying,24-25,2025,4327.85,4295.180060095501,4304.952220097125,-0.7548768997192413
agriculture forestry fishing,Drinking Water Supply,24-25,2025,77223.0,73201.34108063186,76438.18824902237,-5.207851183414453
agriculture forestry fishing,Land Resources,24-25,2025,2419.23,2343.5429354447256,2404.779268860769,-3.1285601019859395
agriculture forestry fishing,Panchayati Raj@,24-25,2025,1016.42,1030.5628600103569,1013.0778672277212,1.3914385795593271
agriculture forestry fishing,Rural Development,24-25,2025,157545.0,150076.17631807207,155904.71313695313,-4.740755772590641
communication broadcasting culture and toursim,Culture,24-25,2025,115531.79,115431.30148527605,117644.20838642947,-0.0869791030883709
communication broadcasting culture and toursim,Information Technology,24-25,2025,16549.04,17068.12647948307,16590.299637512016,3.136656141281128
communication broadcasting culture and toursim,Information and Broadcasting,24-25,2025,4692.0,5238.773522821427,4729.659262905121,11.653314638137829
communication broadcasting culture and toursim,Posts,24-25,2025,25814.0,26922.01801107883,25882.136265897752,4.292314291000354
communication broadcasting culture and toursim,Telecommunications,24-25,2025,97579.05,98463.95464570707,97308.28182982796,0.9068592548370428
communication broadcasting culture and toursim,Tourism,24-25,2025,2400.0,2691.568309020996,2417.397960662842,12.148679542541496
defense security,Defence (Civil estimates),24-25,2025,22612.5,22439.43288424909,22737.346349179745,-0.7653603792190584
defense security,Defence Services,24-25,2025,22612.5,22460.517601145802,22619.84243774414,-0.6721167445182865
defense security,Home Affairs,24-25,2025,5901.31,6107.268409712272,5931.987651421952,3.4900455951690645
economic services,Chemicals and Petro-Chemicals,24-25,2025,173.45,171.68365777310132,176.96580660176278,-1.0183581590652477
economic services,Commerce,24-25,2025,5254.58,5287.35185952148,5339.105193744231,0.6236818075180149
economic services,Economic Affairs (centralised provisions),24-25,2025,5901.31,7522.628847813898,6206.335525188923,27.47388033866882
economic services,Heavy Industry,24-25,2025,6171.63,5781.450729993052,6173.085628083658,-6.322142934799205
economic services,Industrial Policy and Promotion,24-25,2025,8200.63,8287.021561349993,8298.729114310907,1.0534746885299537
economic services,Labour and Employment,24-25,2025,13221.73,13385.008746553227,13428.628709430312,1.2349272489547691
economic services,Planning,24-25,2025,824.39,788.8849950120032,834.2134928654671,-4.306821405887604
economic services,Public Enterprises,24-25,2025,33.05,31.740742668563126,33.41649895894527,-3.961444270610806
economic services,Small Scale Industries,24-25,2025,6171.63,5724.533695421983,6148.501815456712,-7.2443795979022925
economic services,Statistics and Programme Implementation,24-25,2025,10886.8,10874.76900601635,10933.539999001501,-0.11050992012023506
economic services,Steel,24-25,2025,70.15,69.74238870672585,71.63741172909737,-0.5810567259788424
economic services,Textiles,24-25,2025,4389.34,4427.234949771762,4467.1958374601845,0.8633404970169133
energy and natural resources,Atomic Energy,24-25,2025,25078.49,25166.977116115428,25121.382470122244,0.35284068584442696
energy and natural resources,Coal,24-25,2025,192.32,263.5681503482055,195.21641081085204,37.04666719436643
energy and natural resources,Environment and Forests,24-25,2025,3079.4,2962.191795593739,3140.0271485304834,-3.8062026500701855
energy and natural resources,Fertilisers,24-25,2025,175148.48,172973.85968862707,174485.8144611618,-1.2415867447853057
energy and natural resources,Mines,24-25,2025,1911.6,2016.5895682276725,1915.989570493698,5.492235207557681
energy and natural resources,Power,24-25,2025,20671.32,20975.10635653727,20709.64472774105,1.4696030855178663
energy and natural resources,Water Resources,24-25,2025,20054.67,20576.442379976354,20014.66971430635,2.6017500162124603
food distribution,Consumer Affairs,24-25,2025,250.66,557.5518860511112,258.65318915309905,122.43352990150451
food distribution,Food Processing Industries,24-25,2025,3287.65,3189.34488068701,3275.0643002380134,-2.9901333570480424
food distribution,Food and Public Distribution,24-25,2025,205513.94,202230.031067981,204535.49652723185,-1.597900819778452
governance and administration,Company Affairs,24-25,2025,756.19,800.6530075940943,758.2604185890199,5.8798724651336665
governance and administration,External Affairs,24-25,2025,18050.0,19097.278648126125,18127.17993271351,5.802097773551937
governance and administration,Law and Justice,24-25,2025,3975.43,4667.132080937421,3984.7732136241434,17.399428009986874
governance and administration,Parliamentary Affairs,24-25,2025,63.0,63.60892266511917,63.0840820813179,0.966543912887566
governance and administration,"Personnel, Public Grievances and Pensions",24-25,2025,71701.0,72074.15438088584,71558.79306681156,0.5204312086105362
infrastructure and transport,Civil Aviation,24-25,2025,3113.36,3569.726066613045,3130.125275072098,14.658313417434698
infrastructure and transport,Road Transport and Highways,24-25,2025,270434.71,265591.52271866763,268332.4211210104,-1.7908896684646676
infrastructure and transport,Shipping,24-25,2025,2218.74,2205.494147527985,2224.704566036081,-0.5969988584518501
infrastructure and transport,Urban Development,24-25,2025,76431.6,79634.61769945307,76274.05370841981,4.190698218345636
regional and development,Andaman & Nicobar Islands,24-25,2025,192.32,470.36042306694037,201.6714402328491,144.5717674016953
regional and development,Development of North Eastern Region,24-25,2025,5892.0,5918.050778237343,5860.234476070404,0.44213812351227705
