Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,DL_Ensemble_2025,Linear_Ridge_2025,Growth_vs_2024_%,GRU_L5_U64_DL_2025,GRU_L5_U64_Blend_2025,GRU_L5_U64_alpha,LSTM_L5_U64_DL_2025,LSTM_L5_U64_Blend_2025,LSTM_L5_U64_alpha,StackedGRU_L5_64_32_DL_2025,StackedGRU_L5_64_32_Blend_2025,StackedGRU_L5_64_32_alpha,BiGRU_L5_U64_DL_2025,BiGRU_L5_U64_Blend_2025,BiGRU_L5_U64_alpha,TCN_L5_F64_K3_DL_2025,TCN_L5_F64_K3_Blend_2025,TCN_L5_F64_K3_alpha,LinearOLS_DL_2025,LinearOLS_Blend_2025,LinearOLS_alpha,Ridge_DL_2025,Ridge_Blend_2025,Ridge_alpha
agriculture forestry fishing,Agricultural Research and Education,24-25,2025,9504.0,9719.66777178955,9468.623244438171,2.2692316055297863,8256.574281692505,8256.574281692505,1.0,8825.973644256592,9504.0,0.0,10352.99758529663,10242.62789920807,0.87,17061.793704986572,11091.13667804718,0.21,11281.140712738037,9504.0,0.0,4608.110884666443,9455.041108846664,0.01,7735.162221908569,9468.623244438171,0.02
agriculture forestry fishing,Agriculture and Cooperation,24-25,2025,1150.38,3568.819731341386,1234.5894581211091,210.22963988780975,1813.2175833678248,1813.2175833678248,1.0,1248.6986827111245,1150.38,0.0,1586.5219304823877,1529.8234795196774,0.87,53769.03520866395,12200.297593819429,0.21,1881.2481387090684,1150.38,0.0,3067.8035138082505,1169.5542351380827,0.01,5360.852906055451,1234.5894581211091,0.02
agriculture forestry fishing,Animal Husbandry and Dairying,24-25,2025,4327.85,4295.180060095501,4304.952220097125,-0.7548768997192413,3629.7468849718575,3629.7468849718575,1.0,4070.966505029798,4327.85,0.0,4627.446247500182,4588.498735325158,0.87,5633.110381811858,4601.95468018049,0.21,5363.949798375368,4327.85,0.0,1895.6596666112544,4303.528096666112,0.01,3182.961004856229,4304.952220097125,0.02
agriculture forestry fishing,Drinking Water Supply,24-25,2025,77223.0,73201.34108063186,76438.18824902237,-5.207851183414453,67933.41410118341,67933.41410118341,1.0,71834.06667602062,77223.0,0.0,78120.86864304543,78004.14571944953,0.87,21985.598012030125,65623.14558252633,0.21,92777.25276267529,77223.0,0.0,23018.99525669217,76680.95995256693,0.01,37982.41245111823,76438.18824902237,0.02
agriculture forestry fishing,Land Resources,24-25,2025,2419.23,2343.5429354447256,2404.779268860769,-3.1285601019859395,2044.2410557687283,2044.2410557687283,1.0,2269.7264813268184,2419.23,0.0,2610.604101676941,2585.725468458939,0.87,1609.9831095045804,2249.288152995962,0.21,2999.187971574068,2419.23,0.0,1020.2060197377205,2405.239760197377,0.01,1696.6934430384636,2404.779268860769,0.02
agriculture forestry fishing,Panchayati Raj@,24-25,2025,1016.42,1030.5628600103569,1013.0778672277212,1.3914385795593271,876.817900750637,876.817900750637,1.0,946.0062103426457,1016.42,0.0,1098.8888469958306,1088.1678968863725,0.87,1676.270011498928,1154.9885024147748,0.21,1183.0387608718872,1016.42,0.0,506.83669655323024,1011.3241669655322,0.01,849.3133613860607,1013.0778672277212,0.02
agriculture forestry fishing,Rural Development,24-25,2025,157545.0,150076.17631807207,155904.71313695313,-4.740755772590641,138279.27029192448,138279.27029192448,1.0,146866.8787997961,157545.0,0.0,165792.18722820282,164720.05288853645,0.87,37290.51623761654,132291.55840989947,0.21,196815.12814342976,157545.0,0.0,45753.452917188406,156427.08452917187,0.01,75530.65684765577,155904.71313695313,0.02
communication broadcasting culture and toursim,Culture,24-25,2025,115531.79,115431.30148527605,117644.20838642947,-0.0869791030883709,97969.27652267515,97969.27652267515,1.0,108461.0076978588,115531.79,0.0,128114.03638798236,126478.34435754466,0.87,144643.7735531449,121645.30654616044,0.21,115471.54236232817,115531.79,0.0,300272.18783192633,117379.19397831926,0.01,221152.7093214738,117644.20838642947,0.02
communication broadcasting culture and toursim,Information Technology,24-25,2025,16549.04,17068.12647948307,16590.299637512016,3.136656141281128,15094.654872007372,15094.654872007372,1.0,17469.38046597481,16549.04,0.0,18693.93447538376,18415.09819358387,0.87,26947.893961067202,18732.799331824113,0.21,19381.67795815468,16549.04,0.0,28828.206458177567,16671.831664581776,0.01,18612.021875600814,16590.299637512016,0.02
communication broadcasting culture and toursim,Information and Broadcasting,24-25,2025,4692.0,5238.773522821427,4729.659262905121,11.653314638137829,4281.266371965408,4281.266371965408,1.0,5003.724669456482,4692.0,0.0,5425.493039131165,5330.1389440441135,0.87,16627.534752845764,7198.462298097611,0.21,5881.287689208984,4692.0,0.0,10223.082235336304,4747.310822353363,0.01,6574.9631452560425,4729.659262905121,0.02
