Sector_12,Fiscal_Year,Year_End,Naive_Lag1_2024,Ensemble_Blend_2025,Growth_vs_2024_%,GRU_L5_U64_DL_2025,GRU_L5_U64_Blend_2025,GRU_L5_U64_alpha,LSTM_L5_U64_DL_2025,LSTM_L5_U64_Blend_2025,LSTM_L5_U64_alpha,StackedGRU_L5_64_32_DL_2025,StackedGRU_L5_64_32_Blend_2025,StackedGRU_L5_64_32_alpha,BiGRU_L5_U64_DL_2025,BiGRU_L5_U64_Blend_2025,BiGRU_L5_U64_alpha,TCN_L5_F64_K3_DL_2025,TCN_L5_F64_K3_Blend_2025,TCN_L5_F64_K3_alpha
agriculture forestry fishing,24-25,2025,253185.88,251802.96640600063,-0.5462048649787943,209267.54627578496,209267.54627578496,1.0,260548.83564316272,253185.88,0.0,276385.20707936765,274297.26764222456,0.91,238516.9978084016,249812.03709593238,0.23,282826.2200247097,272452.10101606126,0.65
communication broadcasting culture and toursim,24-25,2025,262565.88,279825.14331444644,6.573307740688331,275832.4148697138,275832.4148697138,1.0,333950.4214798021,262565.88,0.0,365725.9458285427,356441.53990397387,0.91,228893.82400762796,254821.30712175445,0.23,242410.02565660002,249464.57467679,0.65
defense security,24-25,2025,51126.31,50138.87918756537,-1.9313555240631057,52234.41743884325,52234.41743884325,1.0,55033.77009272456,51126.31,0.0,60134.139712712764,59323.43503856861,0.91,40622.534635375734,48710.441666136416,0.23,32931.6666065824,39299.79179427856,0.65
economic services,24-25,2025,61298.689999999995,65300.98761466597,6.529173159599298,72711.06060941338,72711.06060941338,1.0,67601.051007874,61298.689999999995,0.0,79037.44095327615,77440.9533674813,0.91,62057.33418710589,61473.17816303435,0.23,49425.40682061672,53581.055933400865,0.65
energy and natural resources,24-25,2025,246136.28,237053.67176115763,-3.6900729298591686,205037.34662992,205037.34662992,1.0,238141.43583889722,246136.28,0.0,286929.70726616384,283258.2988122091,0.91,231043.64175097703,242664.9732027247,0.23,187728.86486297607,208171.46016093442,0.65
food distribution,24-25,2025,209052.25,187510.03991777194,-10.304701375961303,138857.42799636722,138857.42799636722,1.0,196977.74088573456,209052.25,0.0,225688.2436580062,224191.00422878563,0.91,188355.65837833285,204292.03392701657,0.23,135367.99374875426,161157.48343669027,0.65
governance and administration,24-25,2025,94545.62,101195.53654386658,7.033553266525283,109094.6268671894,109094.6268671894,1.0,97865.12768595933,94545.62,0.0,129606.68790278195,126451.19179153157,0.91,95308.30936460018,94721.03855385804,0.23,73960.36693346739,81165.2055067538,0.65
infrastructure and transport,24-25,2025,352198.41000000003,321857.415220881,-8.61474496126176,231107.97533437551,231107.97533437551,1.0,323039.0788898653,352198.41000000003,0.0,395343.5347784901,391460.473548426,0.91,315405.076681459,343735.9433367356,0.23,257715.1236690277,290784.273884868,0.65
regional and development,24-25,2025,31008.08,32264.762680126627,4.05275876522063,37361.85449879646,37361.85449879646,1.0,32966.45983894348,31008.08,0.0,39484.59703977585,38721.710506196025,0.91,30136.275683965683,30807.565007312107,0.23,19341.19290512085,23424.603388328553,0.65
science and innovation,24-25,2025,28905.33,27055.66306446701,-6.399051439762114,28233.372859398725,28233.372859398725,1.0,32584.65185420394,28905.33,0.0,31465.65422247291,31235.225042450347,0.91,23895.49451799989,27753.067839139974,0.23,13899.1601251477,19151.319581346004,0.65
social and services,24-25,2025,252239.36,240367.02002719356,-4.706775331497203,190560.93255828856,190560.93255828856,1.0,260989.21830383298,252239.36,0.0,320561.8643548584,314412.8389629211,0.91,296147.5074984741,262338.233924649,0.23,144615.32106170655,182283.73469010924,0.65
