model,n_eval,MAE,RMSE,R2,MAPE_%,alpha
GRU_L5_U64_Blend,11,31179.281261974786,45580.165105538625,0.8289012457217397,17.787763126291285,0.64
GRU_L5_U64_DL_Level,11,37134.36055138106,53540.15649549983,0.763922644221442,21.17379657951016,
LSTM_L5_U64_Blend,11,22559.93331410262,33410.98722906375,0.9080665250038712,12.165164885782625,0.6
LSTM_L5_U64_DL_Level,11,30925.29047422729,42828.46786075178,0.8489362935641187,15.67040907860757,
StackedGRU_L5_64_32_Blend,11,26500.981545172548,40899.76640638871,0.8622356920877001,14.340800366107473,1.0
StackedGRU_L5_64_32_DL_Level,11,26500.981545172548,40899.76640638871,0.8622356920877001,14.340800366107473,
BiGRU_L5_U64_Blend,11,32830.9980432089,43556.30107879621,0.8437582689772057,16.357337863685803,0.58
BiGRU_L5_U64_DL_Level,11,49757.05919130207,72243.4780943692,0.570174326254529,24.243658545375784,
TCN_L5_F64_K3_Blend,11,20721.557699716588,31558.483250501467,0.9179785761905301,11.820045515529582,0.43
TCN_L5_F64_K3_DL_Level,11,21125.35687177913,31155.70180151571,0.9200588969487654,12.439952964977342,
Ensemble_Blend,11,18792.08118549459,32911.40192826107,0.9107952820735945,11.01778460787543,
