model,n_eval,MAE,RMSE,R2,MAPE_%,alpha
GRU_L5_U64_Blend,61,5305.507875343522,11578.352874617003,0.9534487099634363,76.28307088308512,1.0
GRU_L5_U64_DL_Level,61,5305.507875343522,11578.352874617003,0.9534487099634363,76.28307088308512,
LSTM_L5_U64_Blend,61,5123.300819672131,13675.425216820651,0.9350588708312537,81.87543775695876,0.0
LSTM_L5_U64_DL_Level,61,5391.260868563535,14389.912861980545,0.9280957623809258,85.21342219250481,
StackedGRU_L5_64_32_Blend,61,4891.366599612767,12195.603231807081,0.9483530438437201,84.49973205639996,0.87
StackedGRU_L5_64_32_DL_Level,61,4869.6363335798615,12028.201280519617,0.9497611682527018,85.08644027783421,
BiGRU_L5_U64_Blend,61,5694.0481349057545,14514.893067791965,0.9268413236596109,89.53630002402875,0.21
BiGRU_L5_U64_DL_Level,61,10585.57395753814,22441.942726343626,0.8251123842086667,136.62033214775911,
TCN_L5_F64_K3_Blend,61,5123.300819672131,13675.425216820651,0.9350588708312537,81.87543775695876,0.0
TCN_L5_F64_K3_DL_Level,61,5713.896247503641,13911.627547762771,0.9327961673636298,72.41097660253958,
DL_Ensemble_Blend,61,4927.978068130036,12890.702170016464,0.9422979415004976,81.31237634007033,
LinearOLS_Blend,61,5008.721282466922,13614.383753819106,0.9356373178503167,81.9310219026655,0.01
LinearOLS_DL_Level,61,16967.735109265046,38518.843770163076,0.48478957467482664,187.53689006278947,
Ridge_Blend,61,5058.8891672965865,13665.690366557861,0.9351512945980273,82.08032874898666,0.02
Ridge_DL_Level,61,9275.461124908094,18705.069012994314,0.8785054525884644,129.33215867106176,
Naive_Lag1,61,5123.300819672131,13675.425216820651,0.9350588708312537,81.87543775695876,
