Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,340014.94,
communication broadcasting culture and toursim,24-25,2025,262565.88,282465.25,
defense security,24-25,2025,51126.31,36756.246,
economic services,24-25,2025,61298.69,51730.92,
energy and natural resources,24-25,2025,246136.28,249867.95,
food distribution,24-25,2025,209052.25,202355.4,
governance and administration,24-25,2025,94545.62,88758.21,
infrastructure and transport,24-25,2025,352198.4,365609.66,
regional and development,24-25,2025,31008.08,27563.137,
science and innovation,24-25,2025,28905.33,24725.602,
social and services,24-25,2025,252239.36,288558.5,
