Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,287572.53,
communication broadcasting culture and toursim,24-25,2025,262565.88,264369.4,
defense security,24-25,2025,51126.31,49438.55,
economic services,24-25,2025,61298.69,49060.92,
energy and natural resources,24-25,2025,246136.28,310457.75,
food distribution,24-25,2025,209052.25,204169.22,
governance and administration,24-25,2025,94545.62,93816.81,
infrastructure and transport,24-25,2025,352198.4,382488.66,
regional and development,24-25,2025,31008.08,31693.283,
science and innovation,24-25,2025,28905.33,27967.934,
social and services,24-25,2025,252239.36,278802.47,
