Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,357002.03,
communication broadcasting culture and toursim,24-25,2025,262565.88,481820.06,
defense security,24-25,2025,51126.31,38302.555,
economic services,24-25,2025,61298.69,54827.29,
energy and natural resources,24-25,2025,246136.28,194976.66,
food distribution,24-25,2025,209052.25,145581.66,
governance and administration,24-25,2025,94545.62,95154.375,
infrastructure and transport,24-25,2025,352198.4,228963.66,
regional and development,24-25,2025,31008.08,28163.81,
science and innovation,24-25,2025,28905.33,22899.865,
social and services,24-25,2025,252239.36,257242.89,
