Sector_12,Fiscal_Year,Year_End,Prev_Year_Amount,Forecast,Actual
agriculture forestry fishing,24-25,2025,253185.88,397229.12,
communication broadcasting culture and toursim,24-25,2025,262565.88,408919.12,
defense security,24-25,2025,51126.31,60232.98,
economic services,24-25,2025,61298.69,53771.02,
energy and natural resources,24-25,2025,246136.28,441849.5,
food distribution,24-25,2025,209052.25,306998.56,
governance and administration,24-25,2025,94545.62,117490.234,
infrastructure and transport,24-25,2025,352198.4,711527.75,
regional and development,24-25,2025,31008.08,42697.605,
science and innovation,24-25,2025,28905.33,31118.344,
social and services,24-25,2025,252239.36,378067.5,
