Sector_12,Fiscal_Year,Year_End,Forecast,Actual
agriculture forestry fishing,24-25,2025,212294.34,
communication broadcasting culture and toursim,24-25,2025,216282.56,
defense security,24-25,2025,30580.012,
economic services,24-25,2025,45148.19,
energy and natural resources,24-25,2025,101737.29,
food distribution,24-25,2025,144731.95,
governance and administration,24-25,2025,54695.16,
infrastructure and transport,24-25,2025,142611.78,
regional and development,24-25,2025,27023.373,
science and innovation,24-25,2025,19535.377,
social and services,24-25,2025,176306.97,
