Sector_12,Year_End,Fiscal_Year,Forecast,Actual
agriculture forestry fishing,2025,24-25,363173.47,
communication broadcasting culture and toursim,2025,24-25,420609.4,
defense security,2025,24-25,54340.51,
economic services,2025,24-25,58884.31,
energy and natural resources,2025,24-25,328233.3,
food distribution,2025,24-25,216671.48,
governance and administration,2025,24-25,112846.03,
infrastructure and transport,2025,24-25,433468.12,
regional and development,2025,24-25,37011.766,
science and innovation,2025,24-25,29854.72,
social and services,2025,24-25,314519.6,
