Fiscal_Year,Ministry,Sector,Budget_Allocation,GDP_Growth_Rate,Inflation_CPI,Fiscal_Deficit_GDP,Current_Account_GDP,Exchange_Rate_USD,Crude_Oil_Price,Economic_Crisis,Election_Year,High_Inflation,Budget_MA_3,Budget_MA_5,Budget_YoY_Growth
05-06,Agricultural Research and Education,Agriculture & Rural,1942.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1942.0,1942.0,
06-07,Agricultural Research and Education,Agriculture & Rural,2160.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,2051.0,2051.0,11.225540679711642
07-08,Agricultural Research and Education,Agriculture & Rural,2460.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,2187.3333333333335,2187.3333333333335,13.888888888888884
09-10,Agricultural Research and Education,Agriculture & Rural,3241.4,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2620.4666666666667,2450.85,31.76422764227642
10-11,Agricultural Research and Education,Agriculture & Rural,3818.05,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,3173.15,2724.29,17.790152403282544
11-12,Agricultural Research and Education,Agriculture & Rural,4957.6,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,4005.683333333334,3327.4100000000008,29.846387553856026
12-13,Agricultural Research and Education,Agriculture & Rural,5392.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,4722.55,3973.8100000000004,8.762304340810068
13-14,Agricultural Research and Education,Agriculture & Rural,5729.17,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,5359.59,4627.644,6.253152818991103
15-16,Agricultural Research and Education,Agriculture & Rural,6320.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,5813.723333333332,5243.364,10.312663090814201
16-17,Agricultural Research and Education,Agriculture & Rural,6620.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,6223.056666666666,5803.754,4.746835443037978
17-18,Agricultural Research and Education,Agriculture & Rural,6800.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,6580.0,6172.2339999999995,2.7190332326284095
18-19,Agricultural Research and Education,Agriculture & Rural,7800.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,7073.333333333333,6653.834,14.705882352941169
19-20,Agricultural Research and Education,Agriculture & Rural,8078.76,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,7559.586666666667,7123.752,3.5738461538461497
20-21,Agricultural Research and Education,Agriculture & Rural,8362.58,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,8080.446666666667,7532.267999999999,3.5131629111398333
21-22,Agricultural Research and Education,Agriculture & Rural,8513.62,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,8318.32,7910.992,1.806141166960451
22-23,Agricultural Research and Education,Agriculture & Rural,8513.62,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,8463.273333333333,8253.716,0.0
23-24,Agricultural Research and Education,Agriculture & Rural,9504.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,8843.746666666668,8594.516,11.632889417192672
05-06,Agriculture and Cooperation,Agriculture & Rural,30.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,30.0,30.0,
06-07,Agriculture and Cooperation,Agriculture & Rural,40.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,35.0,35.0,33.33333333333333
07-08,Agriculture and Cooperation,Agriculture & Rural,40.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,36.666666666666664,36.666666666666664,0.0
09-10,Agriculture and Cooperation,Agriculture & Rural,7715.6,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2598.5333333333333,1956.4,19189.0
10-11,Agriculture and Cooperation,Agriculture & Rural,8885.97,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,5547.19,3342.314,15.168878635491723
11-12,Agriculture and Cooperation,Agriculture & Rural,9662.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,8754.523333333333,5268.714,8.73320526627932
12-13,Agriculture and Cooperation,Agriculture & Rural,11313.22,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,9953.730000000001,7523.358,17.08983647277995
13-14,Agriculture and Cooperation,Agriculture & Rural,11979.5,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,10984.906666666668,9911.258,5.889393117078967
15-16,Agriculture and Cooperation,Agriculture & Rural,6203.85,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,9832.19,9608.908,-48.212780166117106
16-17,Agriculture and Cooperation,Agriculture & Rural,23228.83,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,13804.06,12477.48,274.4260418933404
17-18,Agriculture and Cooperation,Agriculture & Rural,41855.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,23762.559999999998,18916.079999999998,80.18557112002627
18-19,Agriculture and Cooperation,Agriculture & Rural,46700.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,37261.276666666665,25993.435999999998,11.57567793573049
19-20,Agriculture and Cooperation,Agriculture & Rural,129585.21,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,72713.40333333334,49514.578,177.48438972162742
20-21,Agriculture and Cooperation,Agriculture & Rural,134399.77,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,103561.65999999999,75153.762,3.715362270123257
21-22,Agriculture and Cooperation,Agriculture & Rural,123017.57,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,129000.84999999999,95111.51,-8.468913302455782
22-23,Agriculture and Cooperation,Agriculture & Rural,900.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,86105.77999999998,86920.51,-99.26839718911697
23-24,Agriculture and Cooperation,Agriculture & Rural,1150.38,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,41689.31666666667,77810.586,27.82000000000002
05-06,Andaman & Nicobar Islands,Regional Development,1675.59,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1675.59,1675.59,
06-07,Andaman & Nicobar Islands,Regional Development,1977.93,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1826.76,1826.76,18.043793529443363
07-08,Andaman & Nicobar Islands,Regional Development,1854.83,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1836.1166666666668,1836.1166666666668,-6.22367828992938
09-10,Andaman & Nicobar Islands,Regional Development,2689.23,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2173.9966666666664,2049.395,44.98525471336996
10-11,Andaman & Nicobar Islands,Regional Development,2064.31,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2202.7899999999995,2052.3779999999997,-23.237878500537335
11-12,Andaman & Nicobar Islands,Regional Development,2608.74,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2454.093333333333,2239.008,26.37346135028169
12-13,Andaman & Nicobar Islands,Regional Development,2982.65,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,2551.9,2439.9519999999998,14.33297300612557
13-14,Andaman & Nicobar Islands,Regional Development,3192.7,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,2928.03,2707.526,7.042395185489414
15-16,Andaman & Nicobar Islands,Regional Development,3748.38,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,3307.91,2919.3559999999998,17.40470448209981
16-17,Andaman & Nicobar Islands,Regional Development,4072.02,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3671.0333333333333,3320.898,8.63412994413586
17-18,Andaman & Nicobar Islands,Regional Development,4158.28,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,3992.8933333333334,3630.8059999999996,2.11835894715644
18-19,Andaman & Nicobar Islands,Regional Development,4523.86,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4251.386666666666,3939.048,8.791615764210192
19-20,Andaman & Nicobar Islands,Regional Development,4817.48,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,4499.873333333333,4264.004,6.4904749483847946
20-21,Andaman & Nicobar Islands,Regional Development,5164.26,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,4835.2,4547.18,7.198369271901517
21-22,Andaman & Nicobar Islands,Regional Development,5317.41,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,5099.716666666666,4796.258,2.9655749323233005
22-23,Andaman & Nicobar Islands,Regional Development,5703.65,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,5395.106666666666,5105.332,7.2636866444377945
23-24,Andaman & Nicobar Islands,Regional Development,192.32,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3737.7933333333326,4239.023999999999,-96.62812409597363
05-06,Animal Husbandry and Dairying,Agriculture & Rural,710.69,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,710.69,710.69,
06-07,Animal Husbandry and Dairying,Agriculture & Rural,819.86,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,765.2750000000001,765.2750000000001,15.361127917938887
07-08,Animal Husbandry and Dairying,Agriculture & Rural,955.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,828.5166666666668,828.5166666666668,16.483302027175363
09-10,Animal Husbandry and Dairying,Agriculture & Rural,1206.28,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,993.7133333333333,922.9575,26.31204188481675
10-11,Animal Husbandry and Dairying,Agriculture & Rural,1398.7,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,1186.6599999999999,1018.106,15.951520376695294
11-12,Animal Husbandry and Dairying,Agriculture & Rural,1696.25,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1433.743333333333,1215.218,21.27332523057124
12-13,Animal Husbandry and Dairying,Agriculture & Rural,2009.37,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1701.4399999999998,1453.12,18.459543109801025
13-14,Animal Husbandry and Dairying,Agriculture & Rural,2110.16,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1938.5933333333332,1684.1519999999996,5.016000039813462
15-16,Animal Husbandry and Dairying,Agriculture & Rural,1227.43,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1782.32,1688.382,-41.83237290063312
16-17,Animal Husbandry and Dairying,Agriculture & Rural,1339.51,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1559.0333333333335,1676.5439999999999,9.131274288554136
17-18,Animal Husbandry and Dairying,Agriculture & Rural,2371.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1645.9800000000002,1811.494,77.0050242252764
18-19,Animal Husbandry and Dairying,Agriculture & Rural,3100.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,2270.17,2029.6200000000001,30.74652045550401
