No.,Ministry,Total_05-06,Total_06-07,Total_09-10,Total_10-11,Total_12-13,Total_13-14
1,4) Chandigarh,994.43,1032.9,1772.56,1920.89,2546.96,3074.32
2,6) Daman and Diu,0.0,0.0,0.0,269.18,683.2,758.71
3,8) Lakshadweep,241.04,381.81,676.98,710.28,806.55,927.61
4,AIDS Control,0.0,0.0,0.0,0.0,1700.0,1785.0
5,Agricultural Research and Education,1942.0,2160.0,3241.4,3818.05,5392.0,5729.17
6,Agriculture and Cooperation,4589.83,5219.16,11822.67,8885.97,20530.22,21933.5
7,Agro and Rural Industries,946.63,1054.63,0.0,0.0,0.0,0.0
8,Animal Husbandry,0.0,0.0,0.0,1398.7,0.0,0.0
9,"Animal Husbandry, Dairying and Fisheries",710.69,819.86,1206.28,0.0,2009.37,2110.16
10,Atomic Energy,4995.86,5505.08,7773.0,8521.0,9232.0,9833.32
11,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",405.98,447.89,922.0,964.0,1178.0,1259.0
12,Biotechnology,458.6,534.6,1024.0,1222.0,1500.39,1502.06
13,CENTRAL SECTOR,0.0,0.0,7808.15,0.0,1356634.37,1524203.1
14,CENTRAL SECTOR - TOTAL,0.0,0.0,931596.71,1012519.05,0.0,0.0
15,Central Ministries/Departments Total,478574.64,520150.81,0.0,0.0,0.0,0.0
16,Chemicals and Petro-Chemicals,913.25,169.4,265.15,420.0,0.0,0.0
17,Chemicals and Petrochemicals,0.0,0.0,0.0,0.0,1802.62,1343.01
18,Civil Aviation,633.5,448.6,887.0,2885.0,5238.8,5882.18
19,Coal,192.07,205.71,349.0,447.7,498.35,497.7
20,Commerce,2420.0,2481.29,3652.0,3980.05,5023.0,5391.0
21,Company Affairs,116.27,145.0,0.0,0.0,0.0,0.0
22,Consumer Affairs,133.34,198.0,467.0,475.2,602.29,556.9
23,Corporate Affairs,0.0,0.0,229.62,249.01,245.5,255.28
24,Culture,865.27,820.0,1276.0,1238.0,1447.0,2062.0
25,DONER,1046.5,1300.0,0.0,0.0,0.0,0.0
26,DONER (gg+hh),0.0,0.0,1374.0,0.0,1700.0,1780.0
27,Defence (Civil estimates),13952.0,15123.84,24960.0,0.0,44798.24,49673.79
28,Defence Services,83000.0,89000.0,141703.0,147344.0,193407.29,203672.12
29,Development of North Eastern Region,52.23,62.79,101.47,209.33,229.33,250.97
30,Disinvestment,6.7,3850.05,1138.78,63.36,63.24,63.24
31,Drinking Water Supply,4751.42,6001.7,9202.84,10583.78,0.0,0.0
32,Drinking Water and Sanitation,0.0,0.0,0.0,0.0,14005.24,15265.7
33,Earth Sciences,0.0,0.0,1210.0,1302.0,1668.0,1690.0
34,Economic Affairs,8085.68,5738.19,11535.11,6722.44,23165.01,29877.38
35,Economic Affairs (Centralised Provisions),160114.27,169511.6,260122.44,281433.0,477789.89,535925.89
36,Election Commission,11.85,12.5,21.0,0.0,72.17,68.5
37,Electronics and Information Technology,0.0,0.0,0.0,0.0,0.0,3052.0
38,Elementary Education and Literacy,12536.53,17132.71,0.0,0.0,0.0,0.0
39,Environment and Forests,1388.19,1520.14,2129.0,2351.16,2629.41,2630.2
40,Expenditure,7073.92,7998.36,13269.67,17074.85,21350.95,22812.99
41,External Affairs,3928.0,3695.05,6293.0,6375.0,9661.97,11719.0
42,Family Welfare,6453.49,0.0,0.0,0.0,0.0,0.0
43,Fertilisers,16398.82,17385.81,50200.0,50215.0,61256.0,66269.0
44,Finance,26500.33,29562.28,63946.59,0.0,0.0,0.0
45,Financial Services#,0.0,0.0,23413.54,37609.1,24437.23,23369.39
46,Food Processing Industries,186.55,173.7,350.5,409.72,670.54,719.11
47,Food and Public Distribution,26590.1,24595.8,53262.0,56133.05,76267.16,91034.55
48,GRAND TOTAL (I+IV),0.0,0.0,0.0,1108749.24,0.0,0.0
49,Grand Total,514343.8,563991.13,0.0,0.0,1490925.29,1665297.32
50,Grants from Central Pool of Resources for North Eastern Region and Sikkim,0.0,0.0,0.0,0.0,879.0,948.0
51,Health,3827.64,12545.88,0.0,0.0,0.0,0.0
52,Health Research#,0.0,0.0,606.0,660.0,908.0,1008.0
53,Health and Family Welfare,0.0,0.0,21113.33,23530.0,30702.0,33278.0
54,Heavy Industries,861.32,905.84,812.0,881.71,1009.67,1028.97
55,Higher Education,0.0,0.0,15429.0,16690.0,25275.0,26750.0
56,Home Affairs,17015.82,18018.41,37299.78,35144.97,52222.1,56906.84
57,Housing and Urban Poverty Alleviation,0.0,0.0,857.97,1007.03,1163.0,1468.02
58,Industrial Policy and Promotion,640.27,600.32,1186.0,1208.87,1567.25,1716.29
59,Information Technology,965.3,1126.0,2582.0,2707.0,3051.0,0.0
60,Information and Broadcasting,1603.0,1716.0,2568.0,2604.18,2737.32,3035.65
61,Labour and Employment,1192.09,1481.36,2442.97,2848.33,4333.68,5081.2
62,Land Resources,1399.44,1421.7,2405.64,2665.8,3208.2,5772.85
63,Law and Justice,495.0,872.95,1678.0,687.19,1535.62,1815.47
64,"Micro, Small and Medium Enterprises",0.0,0.0,2033.45,2648.7,3155.66,3289.71
65,Mines,441.86,495.02,590.0,566.14,698.44,991.08
66,Minority Affairs@,0.0,2.0,1756.5,2615.37,3154.7,3530.98
67,New and Renewable Energy,0.0,0.0,628.0,1008.5,1397.79,1533.55
68,Non-Conventional Energy Sources,605.38,603.64,0.0,0.0,0.0,0.0
69,Ocean Development,377.0,475.75,0.0,0.0,0.0,0.0
70,Overseas Indian Affairs@,35.0,38.0,80.0,0.0,114.77,115.79
71,Panchayati Raj@,50.44,3825.73,4780.71,120.71,5350.74,7000.7
72,Parliamentary Affairs,5.9,6.0,8.33,0.0,11.72,13.28
73,"Personnel, Public Grievances and Pensions",304.0,345.3,675.5,706.36,894.67,1019.94
74,Petroleum and Natural Gas,3669.0,3106.62,3169.0,3179.0,43759.85,65188.41
75,Pharmaceuticals@,0.0,0.0,0.0,198.0,231.09,228.33
76,Planning,106.8,123.83,519.0,2059.32,2177.03,8081.51
77,Pondicherry,698.1,740.3,0.0,0.0,0.0,0.0
78,Posts,1773.1,1765.2,6021.26,4266.14,6537.12,7527.09
79,Power,3061.7,5567.0,9202.0,10474.87,9519.11,10073.07
80,Public Enterprises,32.93,35.32,17.2,15.72,21.93,19.39
81,Railways,6520.0,6800.14,14600.0,0.0,24000.0,26000.0
82,Road Transport and Highways,13889.55,15253.8,21553.55,22184.9,30705.21,31209.23
83,STATE PLANS (a+b+c+d+e+f),0.0,0.0,78692.71,0.0,122549.0,128150.0
84,STATE PLANS (including DONER) Total,31742.39,38961.48,0.0,0.0,0.0,0.0
85,STATE PLANS TOTAL (A+B),0.0,0.0,0.0,0.0,124249.0,129930.0
86,School Education and Literacy,0.0,0.0,29099.21,33214.0,48781.0,52701.0
87,Science and Technology,1636.0,1746.0,2133.0,2369.0,2873.22,3184.27
88,Scientific and Industrial Research,1557.0,1750.0,2691.0,2988.0,3484.0,3571.0
89,Secondary Education and Higher Education,5800.5,6982.28,0.0,0.0,0.0,0.0
90,Shipping,963.92,1236.67,1755.53,1935.89,1679.49,1712.67
91,Small Scale Industries,460.3,524.24,0.0,0.0,0.0,0.0
92,Social Justice and Empowerment,1599.7,1817.6,2585.0,4574.0,6008.3,6725.32
93,Space,3148.0,3610.0,4959.0,5778.0,6715.0,6792.0
