Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
Andaman and Nicobar Islands,1675.59,1977.93,1854.83,2689.23,2064.31,2982.65,3192.7,3748.38,4072.02,4817.48,5164.26,5317.41,5703.65,0
Atomic Energy,4995.86,5505.08,6130.0,7773.0,8521.0,9232.0,9833.32,10912.00,11682.48,16725.51,18228.94,18264.89,22723.58,25078.49
Cabinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,828.85,1140.38,2098.04,1711.04,1258.68
Central Vigilance Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35.55,39.00,38.67,41.96,44.46
Chandigarh,994.43,1032.9,1104.91,1772.56,1920.89,2546.96,3074.32,3457.16,3544.54,4291.7,4635.10,4661.12,0,0
Dadra and Nagar Haveli  and Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2180.52,2204.59,0,0
Defence Pensions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48565,61169.35,55873.12,65840.81,71701.00
Defence Services (Revenue),83000.0,89000.0,96000.0,141703.0,147344.0,193407.29,203672.12,246727.00,222456.14,198485.76,209319.00,212027.56,233000.54,270120.14
Department for Promotion of Industry and Internal Trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1162,6605.55,995.27,8348.00,8200.63
Department of Agricultural Research and Education,1942.0,2160.0,2460.0,3241.4,3818.05,5392.0,5729.17,6320.00,6620.00,8078.76,8362.58,8513.62,8513.62,9504.00
Department of Agriculture Cooperation and Farmers' Welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23228.83,129585.21,134399.77,123017.57,124000.00,115531.79
Department of Animal Husbandry and Dairying,710.69,819.86,955.0,1206.28,0.0,2009.37,2110.16,1227.43,1339.51,3100,3289.13,3101.98,3918.84,4327.85
Department of Biotechnology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2580.34,2786.76,3502.37,2581.00,2683.86
