05-06_Ministry,21-22_Ministry,Similarity,Total_05_06,Total_21_22
Information and Broadcasting,60.    Ministry of Information and Broadcasting,1.0000000000000002,1603.0,4071.23
Statistics and Programme Implementation,95.    Ministry of Statistics and Programme Implementation,1.0000000000000002,259.99,1409.13
Statistics and Programme Implementation,95.    Ministry of Statistics and Programme Implementation,1.0000000000000002,1580.0,1409.13
Law and Justice,64.    Law and Justice,1.0000000000000002,495.0,2645.82
Supreme Court of India,66.    Supreme Court of India,1.0000000000000002,38.28,334.96
Panchayati Raj@,71.    Ministry of Panchayati Raj,1.0000000000000002,50.44,913.43
Rural Development,86.    Department of Rural Development,1.0000000000000002,18353.87,131519.08
Economic Affairs (centralised provisions),29.    Department of Economic Affairs,1.0000000000000002,160114.27,61128.18
Economic Affairs,29.    Department of Economic Affairs,1.0000000000000002,8085.68,61128.18
Science and Technology,88.    Department of Science and Technology,1.0000000000000002,1636.0,6067.39
Scientific and Industrial Research,90.    Department of Scientific and Industrial Research,1.0000000000000002,1557.0,5224.27
Labour and Employment,63.    Ministry of Labour and Employment,1.0000000000000002,1192.09,13306.50
Statistics and Programme Implementation,95.    Ministry of Statistics and Programme Implementation,1.0000000000000002,259.99,1409.13
Statistics and Programme Implementation,95.    Ministry of Statistics and Programme Implementation,1.0000000000000002,1580.0,1409.13
Tribal Affairs,99.    Ministry of Tribal Affairs,1.0000000000000002,402.73,7524.87
Tribal Affairs,99.    Ministry of Tribal Affairs,1.0000000000000002,1107.01,7524.87
Andaman & Nicobar Islands,51.    Andaman and Nicobar Islands,1.0000000000000002,1675.59,5317.41
Tribal Affairs,99.    Ministry of Tribal Affairs,1.0000000000000002,402.73,7524.87
Tribal Affairs,99.    Ministry of Tribal Affairs,1.0000000000000002,1107.01,7524.87
Road Transport and Highways,85.    Ministry of Road Transport and Highways,1.0,12411.0,118101.00
Road Transport and Highways,85.    Ministry of Road Transport and Highways,1.0,1478.55,118101.00
Election Commission,65.    Election Commission,1.0,11.85,249.16
Chandigarh,52.    Chandigarh,1.0,994.43,4661.12
Parliamentary Affairs,72.    Ministry of Parliamentary Affairs,1.0,5.9,65.07
"Personnel, Public Grievances and Pensions",73.    Ministry of Personnel Public Grievances and Pensions,1.0,304.0,2058.57
Petroleum and Natural Gas,75.    Ministry of Petroleum and Natural Gas,1.0,3669.0,15943.78
Planning,76.    Ministry of Planning,1.0,106.8,1062.77
Power,78.    Ministry of Power,1.0,3061.7,15322.00
Tourism,98.    Ministry of Tourism,1.0,828.2,2026.77
Textiles,97.    Ministry of Textiles,1.0,2008.25,3631.64
Agriculture and Cooperation,1.    Department of Agriculture Cooperation and Farmers' Welfare,1.0,30.0,123017.57
Land Resources,87.    Department of Land Resources,1.0,1399.44,2170.42
Railways,84.    Ministry of Railways,1.0,6520.0,110054.64
Youth Affairs and Sports,101.    Ministry of Youth Affairs and Sports,1.0,506.99,2596.14
Biotechnology,89.    Department of Biotechnology,1.0,458.6,3502.37
Agricultural Research and Education,2.    Department of Agricultural Research and Education,1.0,1942.0,8513.62
Social Justice and Empowerment,92.    Department of Social Justice and Empowerment,1.0,1599.7,10517.62
Space,94.    Department of Space,1.0,3148.0,13949.09
Steel,96.    Ministry of Steel,1.0,89.53,39.25
Road Transport and Highways,85.    Ministry of Road Transport and Highways,1.0,12411.0,118101.00
Road Transport and Highways,85.    Ministry of Road Transport and Highways,1.0,1478.55,118101.00
Agriculture & Cooperation,1.    Department of Agriculture Cooperation and Farmers' Welfare,1.0,4559.83,123017.57
Women and Child Development,100.    Ministry of Women and Child Development,1.0,3931.11,24435.00
Secondary Education and Higher Education,25.    Department of Higher Education,1.0,5800.5,38350.65
