No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
1,Agricultural Research and Education,1942.0,2160.0,2460.0,3241.4,3818.05,5392.0,5729.17,6320.0,6620.0,8078.76,8362.58,8513.62,8513.62,9504.0
2,Andaman and Nicobar Islands,1675.59,1977.93,1854.83,2689.23,2064.31,2982.65,3192.7,3748.38,4072.02,4817.48,5164.26,5317.41,5703.65,0.0
3,Atomic Energy,4995.86,5505.08,6130.0,7773.0,8521.0,9232.0,9833.32,10912.0,11682.48,16725.51,18228.94,18264.89,22723.58,25078.49
4,Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),405.98,447.89,563.88,922.0,964.0,1178.0,1259.0,896.0,926.2,1739.76,2122.08,2970.3,3050.0,3647.5
5,Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),405.98,447.89,563.88,922.0,964.0,1178.0,1259.0,896.0,394.0,1739.76,2122.08,2970.3,3050.0,3647.5
6,Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),405.98,447.89,563.88,922.0,964.0,1178.0,1259.0,300.0,926.2,1739.76,2122.08,2970.3,3050.0,3647.5
7,Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),405.98,447.89,563.88,922.0,964.0,1178.0,1259.0,300.0,394.0,1739.76,2122.08,2970.3,3050.0,3647.5
8,Biotechnology,458.6,534.6,1389.4,1024.0,1222.0,1500.39,1502.06,1625.14,1820.0,2580.34,2786.76,3502.37,2581.0,2683.86
9,Chandigarh,994.43,1032.9,1104.91,1772.56,1920.89,2546.96,3074.32,3457.16,3544.54,4291.7,4635.1,4661.12,0.0,0.0
10,Chemicals and Petrochemicals,0.0,0.0,0.0,0.0,0.0,1802.62,1343.01,255.18,202.04,263.65,218.34,233.14,209.0,173.45
11,Civil Aviation,633.5,448.6,617.56,887.0,2885.0,5238.8,5882.18,3341.5,2590.68,4500.0,3797.71,3224.67,10667.0,3113.36
12,Coal,192.07,205.71,288.0,349.0,447.7,498.35,497.7,606.0,361.0,822.05,882.61,534.88,393.24,192.32
13,Commerce and Industry,2420.0,2481.29,2541.0,3652.0,3980.05,5023.0,5391.0,5091.51,4362.8,6219.32,6219.32,4986.01,6073.0,5254.58
14,Consumer Affairs,133.34,198.0,249.64,467.0,475.2,602.29,556.9,261.77,1241.61,2272.32,2300.0,2974.1,1724.88,250.66
15,Corporate Affairs,0.0,0.0,0.0,229.62,249.01,245.5,255.28,271.88,344.43,553.63,727.62,712.13,733.02,756.19
16,Culture,865.27,820.0,932.61,1276.0,1238.0,1447.0,2062.0,2169.0,2500.0,3042.35,3149.86,2687.99,3009.05,3399.65
17,Dadra and Nagar Haveli,114.7,121.5,131.88,247.13,287.02,716.56,796.98,892.9,1060.84,1177.99,0.0,0.0,0.0,0.0
18,Daman and Diu,115.52,121.89,130.67,239.09,269.18,683.2,758.71,879.82,766.72,821.48,0.0,0.0,0.0,0.0
19,Defence,13952.0,15123.84,16695.83,24960.0,0.0,44798.24,49673.79,63352.6,118465.84,17065.12,14500.0,15257.34,20100.0,22612.5
20,Defence Services,83000.0,89000.0,96000.0,141703.0,147344.0,193407.29,203672.12,246727.0,222456.14,198485.76,209319.0,212027.56,233000.54,270120.14
21,Development of North Eastern Region,52.23,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000.0,3048.73,2658.0,2800.0,5892.0
22,Disinvestment,6.7,3850.05,1655.0,1138.78,63.36,63.24,63.24,44.0,40.0,0.0,0.0,0.0,0.0,0.0
23,Earth Sciences,0.0,0.0,887.0,1210.0,1302.0,1668.0,1690.0,1619.7,1672.45,1901.76,2070.0,1897.13,2653.51,3319.88
24,Education,0.0,0.0,9209.5,15429.0,16690.0,25275.0,26750.0,25700.26,27585.0,37461.01,39466.52,38350.65,40828.35,44094.62
25,Election Commission,11.85,12.5,0.0,21.0,0.0,72.17,68.5,80.0,121.52,286.68,270.0,249.16,260.0,340.0
26,Electronics and Information Technology,965.3,1126.0,1536.0,2582.0,2707.0,3051.0,3052.0,2630.0,3328.82,6420.0,6899.03,9720.66,14300.0,16549.04
27,Expenditure,7073.92,7998.36,8635.5,13269.67,17074.85,21350.95,22812.99,29870.89,34961.38,400.55,535.55,454.74,476.89,0.0
28,External Affairs,3928.0,3695.05,4433.6,6293.0,6375.0,9661.97,11719.0,14966.83,14662.66,16061.78,17346.71,18154.73,17250.0,18050.0
29,Fertilisers,16398.82,17385.81,22532.0,50200.0,50215.0,61256.0,66269.0,73047.8,70039.37,75035.0,71345.0,80011.39,105262.23,175148.48
30,Financial Services#,0.0,0.0,0.0,23413.54,37609.1,24437.23,23369.39,24866.8,31975.52,4690.19,11125.0,29510.79,5313.73,1324.64
31,Food Processing Industries,186.55,173.7,258.3,350.5,409.72,670.54,719.11,498.51,636.02,1196.6,1232.94,1308.66,2941.99,3287.65
32,Food and Public Distribution,26590.1,24595.8,26085.0,53262.0,56133.05,76267.16,91034.55,125212.0,140150.0,192240.39,122235.43,253974.3,215959.58,205513.94
33,Health Research#,0.0,0.0,0.0,606.0,660.0,908.0,1008.0,1018.17,1144.8,1900.0,2100.0,2663.0,3200.65,2980.0
34,Heavy Industries,861.32,905.84,906.3,812.0,881.71,1009.67,1028.97,1624.73,1300.0,1162.0,1489.98,995.27,3306.0,6171.63
35,Housing and Urban Affairs,3180.05,3206.26,7629.04,5245.78,7489.37,9685.99,10363.75,13192.87,17461.6,48032.17,50039.9,54581.0,76549.46,76431.6
36,Industrial Policy and Promotion,640.27,600.32,613.44,1186.0,1208.87,1567.25,1716.29,2616.19,3026.55,5674.51,0.0,0.0,0.0,0.0
37,Information and Broadcasting,1603.0,1716.0,1681.84,2568.0,2604.18,2737.32,3035.65,3711.11,4083.63,4375.21,4375.21,4071.23,3980.77,4692.0
38,Lakshadweep,241.04,381.81,444.58,676.98,710.28,806.55,927.61,1059.99,1224.54,1276.74,1349.71,1440.56,0.0,0.0
39,"Micro, Small and Medium Enterprises",0.0,0.0,0.0,2033.45,2648.7,3155.66,3289.71,3007.42,3464.77,7011.29,7572.2,15699.65,21422.0,22137.95
40,Mines,441.86,495.02,389.7,590.0,566.14,698.44,991.08,1155.71,1213.49,1497.94,1701.4,1466.82,1508.0,1911.6
41,New and Renewable Energy,0.0,0.0,632.9,628.0,1008.5,1397.79,1533.55,303.21,5035.79,5254.83,5753.0,5753.0,6900.68,10222.0
42,Parliamentary Affairs,5.9,6.0,0.0,8.33,0.0,11.72,13.28,15.57,17.3,19.38,50.52,65.07,66.4,63.0
43,"Personnel, Public Grievances and Pensions",304.0,345.3,366.0,675.5,706.36,894.67,1019.94,0.0,1477.68,1629.59,1754.54,2058.57,2337.18,2207.74
44,Petroleum and Natural Gas,3669.0,3106.62,0.0,3169.0,3179.0,43759.85,65188.41,30125.55,29160.62,42901.49,42901.0,15943.78,8939.86,41007.72
45,Pharmaceuticals,0.0,0.0,0.0,0.0,198.0,231.09,228.33,259.02,211.4,235.51,333.58,470.41,2244.15,3160.06
46,Planning,106.8,123.83,129.32,519.0,2059.32,2177.03,8081.51,2211.63,293.14,363.4,650.0,1062.77,321.42,824.39
47,Posts,1773.1,1765.2,1714.38,6021.26,4266.14,6537.12,7527.09,7138.7,9025.53,11299.1,15525.38,16528.22,20820.02,25814.0
48,Power,3061.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15874.82,15874.82,15322.0,16074.74,20671.32
49,Public Enterprises,32.93,35.32,14.43,17.2,15.72,21.93,19.39,19.0,20.42,22.64,24.15,21.81,30.0,33.05
50,Railways,6520.0,6800.14,6886.31,14600.0,0.0,24000.0,26000.0,40000.0,45000.0,66768.67,72215.63,110054.64,140367.13,241267.51
51,Science and Technology,1636.0,1746.0,3550.0,2133.0,2369.0,2873.22,3184.27,3835.7,4470.2,5321.01,6301.53,6067.39,6000.0,7931.05
52,Scientific and Industrial Research,1557.0,1750.0,3804.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4895.89,5385.0,5224.27,5636.46,5746.51
