Base_Ministry,05-06,06-07,07-08,09-10,10-11,12-13,13-14,15-16,16-17,18-19,19-20,20-21,21-22,22-23,23-24
Agriculture & Cooperation,4559.83,,,,,,,,,,,,,,
Agricultural Research and Education,1942.0,2160.0,2460.0,3241.4,3818.05,5392.0,5729.17,6320.0,6620.0,7800.0,8078.76,8362.58,8513.62,8513.62,9504.0
Animal Husbandry and Dairying,710.69,819.86,955.0,1206.28,1398.7,2009.37,2110.16,1227.43,1339.51,3100.0,3100.0,3289.13,3101.98,3918.84,4327.85
Agro and Rural Industries,946.63,1054.63,1199.63,590.0,566.14,698.44,991.08,1155.71,1213.49,1669.52,1497.94,1701.4,1466.82,3306.0,6171.63
Atomic Energy,4995.86,5505.08,6130.0,7773.0,8521.0,9232.0,9833.32,10912.0,11682.48,13971.41,16725.51,18228.94,18264.89,22723.58,25078.49
Chemicals and Petro-Chemicals,913.25,169.4,257.0,265.15,420.0,1802.62,1343.01,255.18,202.04,199.65,263.65,218.34,233.14,209.0,173.45
Fertilisers,16398.82,17385.81,22532.0,50200.0,50215.0,61256.0,66269.0,73047.8,70039.37,70125.39,75035.0,71345.0,80011.39,105262.23,175148.48
Civil Aviation,633.5,448.6,617.56,887.0,2885.0,5238.8,5882.18,3341.5,2590.68,6602.86,4500.0,3797.71,3224.67,10667.0,3113.36
Coal,192.07,205.71,288.0,349.0,447.7,498.35,497.7,606.0,361.0,770.91,822.05,882.61,534.88,393.24,192.32
Mines,441.86,495.02,389.7,590.0,566.14,698.44,991.08,1155.71,1213.49,1669.52,1497.94,1701.4,1466.82,1508.0,1911.6
Commerce,2420.0,2481.29,2541.0,3652.0,3980.05,5023.0,5391.0,5091.51,4362.8,5251.7,6219.32,6219.32,4986.01,6073.0,5254.58
Industrial Policy and Promotion,640.27,600.32,613.44,1186.0,1208.87,1567.25,1716.29,2616.19,3026.55,6140.23,5674.51,6605.55,7782.24,8348.0,8200.63
Posts,1773.1,1765.2,1714.38,6021.26,4266.14,6537.12,7527.09,7138.7,9025.53,11496.18,11299.1,15525.38,16528.22,20820.02,25814.0
Telecommunications,2858.65,3166.46,3840.0,7854.0,7210.87,10094.04,11703.14,13474.6,18413.87,28055.28,27338.36,66431.69,58737.0,84586.8,97579.05
Information Technology,965.3,1126.0,1536.0,2582.0,2707.0,3051.0,3052.0,2630.0,3328.82,6000.0,6420.0,6899.03,9720.66,14300.0,16549.04
Company Affairs,116.27,145.0,201.0,229.62,249.01,245.5,255.28,271.88,344.43,564.15,553.63,727.62,712.13,733.02,756.19
Consumer Affairs,133.34,198.0,249.64,467.0,475.2,602.29,556.9,261.77,1241.61,1785.17,2272.32,2300.0,2974.1,1724.88,250.66
Food and Public Distribution,26590.1,24595.8,26085.0,53262.0,56133.05,76267.16,91034.55,125212.0,140150.0,174159.1,192240.39,122235.43,253974.3,215959.58,205513.94
Culture,865.27,40.0,40.0,7715.6,8885.97,11313.22,11979.5,6203.85,23228.83,46700.0,129585.21,134399.77,123017.57,124000.0,115531.79
Defence (Civil estimates),13952.0,15123.84,16695.83,24960.0,147344.0,44798.24,49673.79,63352.6,118465.84,16206.09,17065.12,14500.0,15257.34,20100.0,22612.5
Defence Services,83000.0,15123.84,16695.83,24960.0,147344.0,44798.24,49673.79,63352.6,118465.84,16206.09,17065.12,14500.0,15257.34,20100.0,22612.5
Development of North Eastern Region,52.23,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000.0,3000.0,3048.73,2658.0,2800.0,5892.0
Environment and Forests,1388.19,1520.14,1539.0,2129.0,2351.16,2629.41,2630.2,1230.05,1393.32,88.75,3175.72,3100.0,2869.93,3030.0,3079.4
External Affairs,3928.0,3695.05,4433.6,6293.0,6375.0,9661.97,11719.0,14966.83,14662.66,15011.0,16061.78,17346.71,18154.73,17250.0,18050.0
Economic Affairs,8085.68,,,,,,,,,,,,,,
Economic Affairs (centralised provisions),160114.27,169511.6,189264.93,260122.44,281433.0,378246.89,432968.89,565159.57,603316.31,12742.84,14120.62,29308.27,61128.18,14540.26,5901.31
Expenditure,7073.92,7998.36,8635.5,13269.67,17074.85,21350.95,22812.99,29870.89,34961.38,413.33,400.55,535.55,454.74,476.89,3399.65
Disinvestment,6.7,3850.05,1655.0,1138.78,63.36,63.24,63.24,44.0,40.0,44.0,47.08,132.11,110.52,290.42,94.92
Food Processing Industries,186.55,173.7,258.3,350.5,409.72,670.54,719.11,498.51,636.02,1400.0,1196.6,1232.94,1308.66,2941.99,3287.65
Health,3827.64,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,16371.08,52800.0,61398.12,65011.8,71268.77,83000.0,86175.0
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",405.98,447.89,563.88,922.0,964.0,1178.0,1259.0,896.0,926.2,1626.37,1739.76,2122.08,2970.3,3050.0,3647.5
Family Welfare,6453.49,,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,16371.08,52800.0,61398.12,65011.8,71268.77,83000.0,86175.0
Heavy Industry,861.32,905.84,906.3,812.0,881.71,1009.67,1028.97,1624.73,1300.0,1125.73,1162.0,1489.98,995.27,3306.0,6171.63
Public Enterprises,32.93,35.32,14.43,17.2,15.72,21.93,19.39,19.0,20.42,20.44,22.64,24.15,21.81,30.0,33.05
Home Affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,65651.1,73406.37,4793.36,4895.81,8002.0,7620.4,7621.0,5901.31
Elementary Education and Literacy,12536.53,17132.71,23142.22,29099.21,33214.0,48781.0,52701.0,6153.0,8466.5,50000.0,56386.63,59845.0,54873.66,63449.37,68804.85
Secondary Education and Higher Education,5800.5,6982.28,9209.5,15429.0,16690.0,25275.0,26750.0,25700.26,27585.0,35010.29,37461.01,39466.52,38350.65,40828.35,44094.62
Women and Child Development,3931.11,4852.94,5853.0,7428.0,11070.5,18584.0,20440.0,1084.61,3094.32,24700.0,29164.9,30007.1,24435.0,25172.28,25448.75
Information and Broadcasting,1603.0,1716.0,1681.84,2568.0,2604.18,2737.32,3035.65,3711.11,4083.63,4088.98,4375.21,4375.21,4071.23,3980.77,4692.0
Labour and Employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,3966.85,6131.35,7700.0,10434.09,12065.49,13306.5,16893.68,13221.73
Election Commission,11.85,12.5,,21.0,,72.17,68.5,80.0,121.52,267.96,286.68,270.0,249.16,260.0,340.0
Law and Justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,2960.65,4564.99,4386.33,3055.11,2200.0,2645.82,3393.48,3975.43
Supreme Court of India,38.28,43.27,,88.02,,111.75,129.41,155.0,189.88,251.06,269.46,308.61,334.96,401.46,437.15
Non-Conventional Energy Sources,605.38,603.64,288.0,349.0,447.7,498.35,497.7,606.0,361.0,770.91,822.05,882.61,534.88,393.24,192.32
Overseas Indian Affairs@,35.0,38.0,20995.73,80.0,35144.97,114.77,115.79,118.17,73406.37,4793.36,4895.81,8002.0,7620.4,7621.0,5901.31
Panchayati Raj@,50.44,3750.0,4670.0,110.71,120.71,300.74,500.7,94.75,768.33,825.17,871.37,900.94,913.43,868.57,1016.42
Ocean Development,377.0,475.75,27522.86,62706.95,66137.86,73221.82,74477.65,6000.0,6668.4,112403.92,117647.19,120147.19,131519.08,135944.29,157545.0
Parliamentary Affairs,5.9,6.0,20995.73,8.33,35144.97,11.72,13.28,15.57,17.3,18.86,19.38,50.52,65.07,66.4,63.0
"Personnel, Public Grievances and Pensions",304.0,345.3,366.0,675.5,706.36,894.67,1019.94,921.43,1477.68,46430.0,48565.0,61169.35,55873.12,65840.81,71701.0
Petroleum and Natural Gas,3669.0,3106.62,,3169.0,3179.0,43759.85,65188.41,30125.55,29160.62,31100.55,42901.49,42901.0,15943.78,8939.86,41007.72
Planning,106.8,123.83,129.32,519.0,2059.32,2177.03,8081.51,2211.63,293.14,339.65,363.4,650.0,1062.77,321.42,824.39
Power,3061.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15046.92,15874.82,15874.82,15322.0,16074.74,20671.32
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",378.74,430.07,,686.06,670.17,902.98,1033.53,1186.04,1275.7,5.57,6.98,7.25,7.43,8.64,9.31
Rural Development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,7493.08,7671.4,112403.92,117647.19,120147.19,131519.08,135944.29,157545.0
Land Resources,1399.44,1421.7,1503.78,2405.64,2665.8,3208.2,5772.85,59.73,230.51,2511.4,2227.24,2251.24,2170.42,2259.34,2419.23
Drinking Water Supply,4751.42,6001.7,7561.74,9202.84,10583.78,14005.24,15265.7,238.87,1471.2,22356.6,18216.34,21518.1,60030.45,67221.12,77223.0
Science and Technology,1636.0,1746.0,1775.0,2133.0,2369.0,2873.22,3184.27,3835.7,4470.2,5114.78,5321.01,6301.53,6067.39,6000.0,7931.05
Scientific and Industrial Research,1557.0,1750.0,1902.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4795.97,4895.89,5385.0,5224.27,5636.46,5746.51
Biotechnology,458.6,534.6,694.7,1024.0,1222.0,1500.39,1502.06,1625.14,1820.0,2411.53,2580.34,2786.76,3502.37,2581.0,2683.86
Shipping,963.92,1236.67,1553.5,1755.53,1935.89,1679.49,1712.67,1439.79,1531.0,1881.13,1902.56,1800.0,1702.35,1709.5,2218.74
Road Transport and Highways,12411.0,1512.49,1512.13,19565.0,22184.9,28438.21,28942.23,42841.65,46983.0,71000.0,83015.97,91823.22,118101.0,199107.71,270434.71
