Ministry,Budget_07-08,Budget_20-21,Budget_10-11,Budget_06-07,Budget_15-16,Budget_22-23,Budget_12-13,Budget_13-14,Budget_23-24,Budget_21-22,Budget_09-10,Budget_19-20,Budget_05-06,Budget_16-17,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24,CAGR
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AYUSH,0.0,2122.08,964.0,0.0,896.0,3050.0,1178.0,1259.0,3647.5,2970.3,0.0,1739.76,0.0,926.2,0.0,0.0,0.0,0.0,22.199170124481327,6.8760611205432935,-28.832406671961873,3.3705357142857197,87.83847980997623,21.975444888950197,39.97116037095681,2.683230650102677,19.59016393442623,0.0
Agricultural Research and Education,2460.0,8362.58,3818.05,2160.0,0.0,8513.62,0.0,0.0,9504.0,8513.62,3241.4,8078.76,1942.0,0.0,11.225540679711637,13.88888888888889,31.764227642276428,17.790152403282537,-100.0,0.0,0.0,0.0,0.0,3.513162911139825,1.8061411669604461,0.0,11.632889417192677,12.992743610609715
Agriculture and Farmers Welfare,5947.21,134399.77,8885.97,5219.16,6203.85,0.0,11313.22,11979.5,0.0,123017.57,7715.6,129585.21,4589.83,23228.83,13.711401075856838,13.949562764889373,29.734783200862257,15.168878635491717,27.315532237898623,5.8893931170789635,-48.21278016611711,274.4260418933405,457.8636978272259,3.7153622701232516,-8.468913302455789,-100.0,0.0,0.0
Animal Husbandry and Dairying,0.0,3289.13,0.0,0.0,1227.43,3918.84,2009.37,2110.16,4327.85,3101.98,1206.28,3100.0,710.69,1339.51,-100.0,0.0,0.0,-100.0,0.0,5.0160000398134725,-41.83237290063312,9.131274288554128,131.42791020597085,6.100967741935488,-5.689954486444746,26.333503117363755,10.43701707648182,14.908784418857568
Atomic Energy,6130.0,18228.94,8521.0,5505.08,10912.0,22723.58,9232.0,9833.32,25078.49,18264.89,7773.0,16725.51,4995.86,11682.48,10.192839671247798,11.351696978063899,26.802610114192493,9.623054161842274,8.344091069123342,6.513431542461003,10.969641992734909,7.060850439882695,43.167461018550846,8.988843987418024,0.19721388078517307,24.41126116828518,10.36328782700613,13.213786858045307
Chemicals and Petrochemicals,0.0,218.34,0.0,0.0,255.18,209.0,1802.62,1343.01,173.45,233.14,0.0,263.65,0.0,202.04,0.0,0.0,0.0,0.0,0.0,-25.49677691360353,-80.99939687716397,-20.82451602790188,30.493961591764002,-17.185662810544276,6.778418979573135,-10.354293557519082,-17.009569377990434,0.0
Civil Aviation,617.56,3797.71,2885.0,448.6,3341.5,10667.0,5238.8,5882.18,3113.36,3224.67,887.0,4500.0,633.5,2590.68,-29.187056037884762,37.663843067320535,43.62976876740723,225.25366403607669,81.58752166377818,12.281056730548983,-43.19282986919816,-22.4695496034715,73.69956922506833,-15.606444444444445,-15.089093164038328,230.793538563636,-70.81316208868472,13.029284550867581
Coal,288.0,882.61,447.7,205.71,606.0,393.24,498.35,497.7,192.32,534.88,349.0,822.05,192.07,361.0,7.1015775498516245,40.00291672743182,21.180555555555554,28.28080229226361,11.313379495197685,-0.13043042038728486,21.76009644364075,-40.42904290429043,127.7146814404432,7.366948482452414,-39.397922072036344,-26.48070595273706,-51.09347980876818,0.010006365450143662
Commerce and Industry,3154.44,6219.32,5188.92,3081.61,7707.700000000001,6073.0,6590.25,7107.29,5254.58,4986.01,4838.0,11893.83,3060.27,7389.35,0.6973240923186564,2.3633749890479305,53.37112134007938,7.253410500206699,27.00619782151199,7.845529380524259,8.447805000218096,-4.130285299116472,60.95908300459444,-47.70969485859475,-19.830302991323805,21.80079863457955,-13.476370821669686,4.24611201988534
