No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
1,Agricultural Research and Education,1942.0,2160.0,2460.0,3241.4,3818.05,5392.0,5729.17,6320.0,6620.0,8078.76,8362.58,8513.62,8513.62,9504.0
2,Agriculture Cooperation and Farmers' Welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35968.79,129585.21,134399.77,123017.57,0.0,0.0
3,Agriculture and Cooperation,4589.83,5219.16,5947.21,11822.67,0.0,20530.22,21933.5,17003.85,0.0,0.0,0.0,0.0,0.0,0.0
4,Andaman and Nicobar Islands,1675.59,1977.93,1854.83,2689.23,2064.31,2982.65,3192.7,3748.38,4072.02,4817.48,5164.26,5317.41,5703.65,0.0
5,"Animal Husbandry, Dairying and Fisheries",710.69,819.86,955.0,1206.28,0.0,2009.37,2110.16,1227.43,1879.74,3100.0,3289.13,3101.98,3918.84,4327.85
6,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",405.98,447.89,563.88,922.0,964.0,1178.0,1259.0,1196.0,1320.2,1739.76,2122.08,2970.3,0.0,0.0
7,Central Ministries/Departments Total,478574.64,520150.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Central Pool of Resources for NER and Sikkim,585.0,700.0,600.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chemicals and Petro-Chemicals,913.25,169.4,257.0,265.15,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Dadra and Nagar Haveli,114.7,121.5,131.88,247.13,287.02,716.56,796.98,892.9,1060.84,1177.99,0.0,0.0,0.0,0.0
11,Defence(Civil Estimates),13952.0,15123.84,16695.83,24960.0,0.0,44798.24,49673.79,63352.6,0.0,0.0,0.0,0.0,0.0,0.0
12,Economic Affairs provisions),160114.27,169511.6,189264.93,260122.44,281433.0,477789.89,535925.89,581159.57,618166.31,0.0,0.0,0.0,0.0,0.0
13,Financial Services#,0.0,0.0,0.0,23413.54,37609.1,24437.23,23369.39,24866.8,31975.52,4690.19,11125.0,29510.79,5313.73,1324.64
14,Grand Total,514343.8,563991.13,680520.51,0.0,1108749.24,1490925.29,1665297.32,1777477.04,1978060.45,2784199.55,3042230.09,3483235.63,3944908.67,3944908.67
15,Health Research#,0.0,0.0,0.0,606.0,660.0,908.0,1008.0,1018.17,1144.8,1900.0,2100.0,2663.0,3200.65,2980.0
16,Health and Family Welfare,0.0,0.0,15291.0,21113.33,23530.0,30702.0,33278.0,29358.0,36881.67,61398.12,65011.8,71268.77,83000.0,86175.0
17,Heavy Industries,861.32,905.84,906.3,812.0,881.71,1009.67,1028.97,1624.73,1300.0,1162.0,1489.98,995.27,3306.0,6171.63
18,Indirect Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15236.439999999999,16321.39,29865.11,50445.47,48400.950000000004
19,"Micro, Small and Medium Enterprises",0.0,0.0,0.0,2033.45,2648.7,3155.66,3289.71,3007.42,3464.77,7011.29,7572.2,15699.65,21422.0,22137.95
20,Minority Affairs@,0.0,2.0,512.83,1756.5,2615.37,3154.7,3530.98,3726.11,3815.75,4700.0,5029.0,4810.77,5020.5,3097.6
21,Overseas Indian Affairs@,35.0,38.0,0.0,80.0,0.0,114.77,115.79,118.17,0.0,0.0,0.0,0.0,0.0,0.0
22,Panchayati Raj@,50.44,3825.73,4770.5,4780.71,0.0,5350.74,7000.7,94.75,768.33,871.37,900.94,913.43,868.57,1016.42
23,"Personnel, Public Grievances and Pensions",304.0,345.3,366.0,675.5,706.36,894.67,1019.94,0.0,1477.68,1629.59,1754.54,2058.57,2337.18,2207.74
24,Pharmaceuticals@,0.0,0.0,0.0,0.0,198.0,231.09,228.33,259.02,211.4,235.51,333.58,470.41,2244.15,3160.06
25,Rural Development,21533.92,27253.82,35151.9,67952.73,73627.23,82907.81000000001,84841.4,90785.95,110099.45,117647.19,120147.19,131519.08,135944.29,157545.0
26,STATE PLANS,30695.89,37661.48,45827.04,0.0,0.0,122549.0,128150.0,194945.01,232772.36,0.0,0.0,0.0,0.0,0.0
27,STATE PLANS DONER) Total,31742.39,38961.48,0.0,0.0,0.0,124249.0,129930.0,196743.01,234372.36,0.0,0.0,0.0,0.0,0.0
28,"Staff Household and Allowances of the President""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.78,80.98,74.47,79.45,90.14
29,"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",378.74,430.07,0.0,686.06,670.17,902.98,1033.53,1186.04,1275.7,0.0,0.0,0.0,0.0,0.0
30,Total Central Assistance for States and UTs + III),0.0,0.0,52469.03,89240.97,96230.19,134290.92,141094.22,210395.26,248551.97,0.0,0.0,0.0,0.0,0.0
31,UNION TERRITORIES + B),4026.77,4878.84,5341.99,9174.26,7306.27,10041.92,11164.22,13652.25,14179.61,0.0,0.0,0.0,0.0,0.0
32,UNION TERRITORIES WITHOUT LEGISLATURE + 4 + 5 + 6 + 7),4026.7700000000004,4878.84,5341.99,9174.26,7306.27,10041.92,11164.22,13652.25,14179.61,0.0,0.0,0.0,0.0,0.0
