Ministry,Budget_05-06,Budget_06-07,Budget_07-08,Budget_09-10,Budget_10-11,Budget_12-13,Budget_13-14,Budget_15-16,Budget_16-17,Budget_18-19,Budget_19-20,Budget_20-21,Budget_21-22,Budget_22-23,Budget_23-24
agricultural research and education,1942.0,2160.0,2460.0,3241.4,3818.05,5392.0,5729.17,6320.0,6620.0,7800.0,8078.76,8362.58,8513.62,8513.62,9504.0
atomic energy,4995.86,5505.08,6130.0,7773.0,8521.0,9232.0,9833.32,10912.0,11682.48,13971.41,16725.51,18228.94,18264.89,22723.58,25078.49
biotechnology,458.6,534.6,1389.4,1024.0,1222.0,1500.39,1502.06,1625.14,1820.0,2411.53,2580.34,2786.76,3502.37,2581.0,2683.86
civil aviation,633.5,448.6,617.56,887.0,2885.0,5238.8,5882.18,3341.5,2590.68,6602.86,4500.0,3797.71,3224.67,10667.0,3113.36
coal,192.07,205.71,288.0,349.0,447.7,498.35,497.7,606.0,361.0,770.91,822.05,882.61,534.88,393.24,192.32
consumer affairs,133.34,198.0,249.64,467.0,475.2,602.29,556.9,261.77,1241.61,1785.17,2272.32,2300.0,2974.1,1724.88,250.66
culture,865.27,820.0,932.61,1276.0,1238.0,1447.0,2062.0,2169.0,2500.0,2843.32,3042.35,3149.86,2687.99,3009.05,3399.65
defence services,83000.0,89000.0,96000.0,141703.0,147344.0,193407.29,203672.12,246727.0,222456.14,185323.19,198485.76,209319.0,212027.56,233000.54,270120.14
development of north eastern region,52.23,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000.0,3000.0,3048.73,2658.0,2800.0,5892.0
ee. women and child development,3931.11,4852.94,11706.0,7428.0,11070.5,18584.0,20440.0,10084.400000000001,17352.25,24700.0,29164.9,30007.1,24435.0,25172.28,25448.75
external affairs,3928.0,3695.05,4433.6,6293.0,6375.0,9661.97,11719.0,14966.83,14662.66,15011.0,16061.78,17346.71,18154.73,17250.0,18050.0
fertilisers,16398.82,17385.81,22532.0,50200.0,50215.0,61256.0,66269.0,73047.8,70039.37,70125.39,75035.0,71345.0,80011.39,105262.23,175148.48
food and public distribution,26590.1,24595.8,26085.0,53262.0,56133.05,76267.16,91034.55,125212.0,140150.0,174159.1,192240.39,122235.43,253974.3,215959.58,205513.94
heavy industries,861.32,905.84,906.3,812.0,881.71,1009.67,1028.97,1624.73,1300.0,1125.73,1162.0,1489.98,995.27,3306.0,6171.63
information and broadcasting,1603.0,1716.0,1681.84,2568.0,2604.18,2737.32,3035.65,3711.11,4083.63,4088.98,4375.21,4375.21,4071.23,3980.77,4692.0
l. home affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,66641.1,75219.48,4793.36,4895.81,8002.0,7620.4,7621.0,5901.31
mines,441.86,495.02,389.7,590.0,566.14,698.44,991.08,1155.71,1213.49,1669.52,1497.94,1701.4,1466.82,1508.0,1911.6
p. labour and employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,5357.37,6242.6,7700.0,10434.09,12065.49,13306.5,16893.68,13221.73
p. law and justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,3460.65,5025.0,4386.33,3055.11,2200.0,2645.82,3393.48,3975.43
planning,106.8,123.83,129.32,519.0,2059.32,2177.03,8081.51,2211.63,293.14,339.65,363.4,650.0,1062.77,321.42,824.39
posts,1773.1,1765.2,1714.38,6021.26,4266.14,6537.12,7527.09,7138.7,9025.53,11496.18,11299.1,15525.38,16528.22,20820.02,25814.0
power,3061.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15046.92,15874.82,15874.82,15322.0,16074.74,20671.32
public enterprises,32.93,35.32,14.43,17.2,15.72,21.93,19.39,19.0,20.42,20.44,22.64,24.15,21.81,30.0,33.05
science and technology,1636.0,1746.0,3550.0,2133.0,2369.0,2873.22,3184.27,3835.7,4470.2,5114.78,5321.01,6301.53,6067.39,6000.0,7931.05
scientific and industrial research,1557.0,1750.0,3804.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4795.97,4895.89,5385.0,5224.27,5636.46,5746.51
space,3148.0,3610.0,7717.2,4959.0,5778.0,6715.0,6792.0,7388.19,7509.14,10783.42,11538.26,13479.47,13949.09,13700.0,12543.91
steel,89.53,129.5,301.0,115.36,107.62,115.29,112.87,82.95,85.62,47.9,241.29,100.0,39.25,47.0,70.15
telecommunications,2858.65,3166.46,3840.0,7854.0,7210.87,10094.04,11703.14,13474.6,18413.87,28055.28,27338.36,66431.69,58737.0,84586.8,97579.05
tourism,828.2,872.82,1993.24,1070.0,1119.41,1282.98,1357.3,1553.07,1590.32,2150.0,2189.22,2499.83,2026.77,2400.0,2400.0
u. land resources,1399.44,1421.7,3007.56,2405.64,2665.8,3208.2,5772.85,1632.5,1708.36,2511.4,2227.24,2251.24,2170.42,2259.34,2419.23
u. rural development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,71593.08,85969.45,112403.92,117647.19,120147.19,131519.08,135944.29,157545.0
v. social justice and empowerment,1599.7,1817.6,4118.3,2585.0,4574.0,6008.3,6725.32,6514.82,6551.450000000001,7750.0,7800.0,10103.57,10517.62,11922.51,12847.02
