Ministry/Department,Total
Agriculture Research and Education,4957.60
"Animal Husbandry, Dairying and Fisheries",1696.25
Atomic Energy,9352.46
Chemicals and Petrochemicals,822.00
Fertilisers,50245.00
Civil Aviation,2393.88
Coal,468.72
Mines,654.28
Commerce,6511.58
Industrial Policy and Promotion,1489.00
Posts,5827.67
Telecommunications,7673.78
Information Technology,3048.61
Corporate Affairs,238.94
Consumer Affairs,580.56
Food and Public Distribution,61606.01
Culture,1338.00
Defence(Civil Estimates),38156.81
Defence Services,164415.49
Development of North Eastern Region,212.58
Environment and Forests,2491.97
External Affairs,7106.00
Economic Affairs (Centralised Provisions),317419.79
Expenditure,18355.05
Disinvestment,62.63
Food Processing Industries,610.09
Health and Family Welfare,26897.00
"Ayurveda, Yoga & Naturopathy,Unani, Siddha and Homoeopathy ( AYUSH)",1088.00
Heavy Industry,855.65
Public Enterprises,18.69
Home Affairs,46789.85
School Education and Literacy,41451.00
Higher Education,21912.00
Women and Child Development,12733.00
Information and Broadcasting,2643.64
Labour and Employment,3109.25
Law and Justice,1432.30
Panchayati Raj,200.65
Parliamentary Affairs,10.48
"Personnel, Public Grievances and Pensions",766.78
Planning,1676.00
Power,9506.99
Rural Development,74143.72
Land Resources,2706.20
Drinking Water and Sanitation,11005.24
Science and Technology,2733.00
Scientific and Industrial Research,3385.00
Biotechnology,1426.92
Shipping,1806.00
Road Transport and Highways,24190.00
"Micro, Small and Medium Enterprises",3001.29
Social Justice and Empowerment,5453.00
Space,6626.00
Statistics and Programme Implementation,947.36
Steel,110.76
Textiles,5855.75
Tourism,1170.76
Tribal Affairs,1447.00
Urban Development,8541.46
Water Resources,1222.73
Youth Affairs and Sports,1121.00
Agriculture and Cooperation,9662.00
Economic Affairs,10233.24
Grants from Central Pool of Resources for North Eastern Region and Sikkim,799.00
Andaman and Nicobar Islands,2608.74




