Ministry_05_06,Ministry_21_22,Clean_05_06,Clean_21_22,Similarity_Score,Budget_05_06,Budget_21_22,Budget_Growth
Lakshadweep,55.    Lakshadweep,lakshadweep,lakshadweep,100.0,241.04,1440.56,5.976435446398938
Steel,96.    Ministry of Steel,steel,steel,100.0,89.53,39.25,0.43840053613313973
Heavy Industry,46.    Department of Heavy Industry,heavy industry,heavy industry,100.0,861.32,995.27,1.155517113268007
Public Enterprises,47.    Department of Public Enterprises,public enterprises,public enterprises,100.0,32.93,21.81,0.662313999392651
Home Affairs,48.    Ministry of Home Affairs,home affairs,home affairs,100.0,17015.82,7620.4,0.44784206697061907
Tourism,98.    Ministry of Tourism,tourism,tourism,100.0,828.2,2026.77,2.44719874426467
Textiles,97.    Ministry of Textiles,textiles,textiles,100.0,2008.25,3631.64,1.808360512884352
Women and Child Development,100.    Ministry of Women and Child Development,women and child development,women and child development,100.0,3931.11,24435.0,6.215801643810527
Information and Broadcasting,60.    Ministry of Information and Broadcasting,information and broadcasting,information and broadcasting,100.0,1603.0,4071.23,2.53975670617592
Labour and Employment,63.    Ministry of Labour and Employment,labour and employment,labour and employment,100.0,1192.09,13306.5,11.16232834769187
Election Commission,65.    Election Commission,election commission,election commission,100.0,11.85,249.16,21.026160337552742
Law and Justice,64.    Law and Justice,law and justice,law and justice,100.0,495.0,2645.82,5.345090909090909
Supreme Court of India,66.    Supreme Court of India,supreme court of india,supreme court of india,100.0,38.28,334.96,8.750261233019852
Agricultural Research and Education,2.    Department of Agricultural Research and Education,agricultural research and education,agricultural research and education,100.0,1942.0,8513.62,4.38394438722966
Panchayati Raj@,71.    Ministry of Panchayati Raj,panchayati raj@,panchayati raj,100.0,50.44,913.43,18.109238699444884
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",4.    Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),"ayurveda, yoga and naturopathy, unani, siddha and homoeopathy",ayurveda yoga and naturopathy unani siddha and homoeopathy,100.0,405.98,2970.3,7.316370264545052
