Ministry,Budget_05-06,Budget_06-07,Budget_07-08,Budget_09-10,Budget_10-11,Budget_12-13,Budget_13-14,Budget_15-16,Budget_16-17,Budget_18-19,Budget_19-20,Budget_20-21,Budget_21-22,Budget_22-23,Budget_23-24,Sector,2005-06,2006-07,2007-08,2009-10,2010-11,2012-13,2013-14,2015-16,2016-17,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
atomic energy,4995.86,5505.08,6130.0,7773.0,8521.0,9232.0,9833.32,10912.0,11682.48,13971.41,16725.51,18228.94,18264.89,22723.58,25078.49,Energy Sector,4995.86,5505.08,6130.0,7773.0,8521.0,9232.0,9833.32,10912.0,11682.48,13971.41,16725.51,18228.94,18264.89,22723.58,25078.49
biotechnology,458.6,534.6,694.7,1024.0,1222.0,1500.39,1502.06,1625.14,1820.0,2411.53,2580.34,2786.76,3502.37,2581.0,2683.86,Education & Research Sector,458.6,534.6,694.7,1024.0,1222.0,1500.39,1502.06,1625.14,1820.0,2411.53,2580.34,2786.76,3502.37,2581.0,2683.86
civil aviation,633.5,448.6,617.56,887.0,2885.0,5238.8,5882.18,3341.5,2590.68,6602.86,4500.0,3797.71,3224.67,10667.0,3113.36,Infrastructure Sector,633.5,448.6,617.56,887.0,2885.0,5238.8,5882.18,3341.5,2590.68,6602.86,4500.0,3797.71,3224.67,10667.0,3113.36
coal,192.07,205.71,288.0,349.0,447.7,498.35,497.7,606.0,361.0,770.91,822.05,882.61,534.88,393.24,192.32,Energy Sector,192.07,205.71,288.0,349.0,447.7,498.35,497.7,606.0,361.0,770.91,822.05,882.61,534.88,393.24,192.32
commerce,2420.0,2481.29,2541.0,3652.0,3980.05,5023.0,5391.0,5091.51,4362.8,5251.7,6219.32,6219.32,4986.01,6073.0,5254.58,Industry & Commerce Sector,2420.0,2481.29,2541.0,3652.0,3980.05,5023.0,5391.0,5091.51,4362.8,5251.7,6219.32,6219.32,4986.01,6073.0,5254.58
consumer affairs,133.34,198.0,249.64,467.0,475.2,602.29,556.9,261.77,1241.61,1785.17,2272.32,2300.0,2974.1,1724.88,250.66,Administration & Governance Sector,133.34,198.0,249.64,467.0,475.2,602.29,556.9,261.77,1241.61,1785.17,2272.32,2300.0,2974.1,1724.88,250.66
corporate affairs,116.27,145.0,201.0,229.62,249.01,245.5,255.28,271.88,344.43,564.15,553.63,727.62,712.13,733.02,756.19,Industry & Commerce Sector,116.27,145.0,201.0,229.62,249.01,245.5,255.28,271.88,344.43,564.15,553.63,727.62,712.13,733.02,756.19
culture,865.27,820.0,932.61,1276.0,1238.0,1447.0,2062.0,2169.0,2500.0,2843.32,3042.35,3149.86,2687.99,3009.05,3399.65,Cultural & Tourism Sector,865.27,820.0,932.61,1276.0,1238.0,1447.0,2062.0,2169.0,2500.0,2843.32,3042.35,3149.86,2687.99,3009.05,3399.65
defence services,83000.0,89000.0,96000.0,141703.0,147344.0,193407.29,203672.12,246727.0,222456.14,185323.19,198485.76,209319.0,212027.56,233000.54,270120.14,Defense & Security Sector,83000.0,89000.0,96000.0,141703.0,147344.0,193407.29,203672.12,246727.0,222456.14,185323.19,198485.76,209319.0,212027.56,233000.54,270120.14
development of north eastern region,52.23,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000.0,3000.0,3048.73,2658.0,2800.0,5892.0,Rural & Regional Development Sector,52.23,62.79,93.07,101.47,209.33,229.33,250.97,564.74,830.01,3000.0,3000.0,3048.73,2658.0,2800.0,5892.0
