No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_08-09,Total_09-10,Total_10-11,Total_11-12,Total_12-13,Total_13-14,Total_14-15,Total_15-16,Total_16-17,Total_17-18,Total_18-19,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
1,(3) Andaman and Nicobar Islands,0.0,0.0,0.0,0,0.0,0.0,0,2982.65,3192.7,0,3748.38,4072.02,0,0,0.0,0.0,0.0,0.0,0.0
2,(3) UT Schemes(Others),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1816.0,1248.95,0,0,0.0,0.0,0.0,0.0,0.0
3,(4) Chandigarh,0.0,0.0,0.0,0,0.0,0.0,0,2546.96,3074.32,0,3457.16,3544.54,0,0,0.0,0.0,0.0,0.0,0.0
4,(5) Dadra and Nagar Haveli,114.7,121.5,131.88,0,0.0,287.02,0,716.56,796.98,0,892.9,1060.84,0,0,1177.99,0.0,0.0,0.0,0.0
5,(7) Daman and Diu,0.0,0.0,0.0,0,0.0,0.0,0,683.2,758.71,0,879.82,766.72,0,0,0.0,0.0,0.0,0.0,0.0
6,(8) Lakshadweep,0.0,0.0,0.0,0,0.0,0.0,0,806.55,927.61,0,1059.99,1224.54,0,0,0.0,0.0,0.0,0.0,0.0
7,(i) Puducherry,0.0,0.0,642.32,0,1028.59,745.89,0,1205.0,1268.2,0,1377.01,1409.0,0,0,0.0,0.0,0.0,0.0,0.0
8,(ii) Central Pool of Resources for NE and Sikkim,585.0,700.0,600.0,0,700.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
9,(iii) Andaman & Nicobar Islands,1675.59,1977.93,1854.83,0,2689.23,2064.31,0,0.0,0.0,0,0.0,0.0,0,0,4817.48,5164.26,5317.41,5703.65,0.0
10,(iii) Special Package for Bodoland Territorial Council,0.0,0.0,100.0,0,50.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
11,(iv) Chandigarh,994.43,1032.9,1104.91,0,1772.56,1920.89,0,0.0,0.0,0,0.0,0.0,0,0,4291.7,4635.1,4661.12,0.0,0.0
12,(v) Dadra & Nagar Haveli,0.0,0.0,0.0,0,247.13,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
13,(vi) Daman and Diu,0.0,0.0,0.0,0,239.09,269.18,0,0.0,0.0,0,0.0,0.0,0,0,821.48,0.0,0.0,0.0,0.0
14,(vii) Lakshadweep,241.04,381.81,444.58,0,676.98,710.28,0,0.0,0.0,0,0.0,0.0,0,0,1276.74,1349.71,1440.56,0.0,0.0
15,A. State Plans (a+b+c+d+e+f),0.0,0.0,0.0,0,78692.71,0.0,0,122549.0,128150.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
16,A. UNION TERRITORIES WITH LEGISLATURE (1 + 2 + 3),885.49,1242.81,1675.12,0,3549.27,2054.59,0,2306.0,2413.9,0,3614.0,3510.95,0,0,0.0,0.0,0.0,0.0,0.0
17,Agricultural Research and Education,1942.0,2160.0,2460.0,0,3241.4,3818.05,0,5392.0,5729.17,0,6320.0,6620.0,0,0,0.0,0.0,0.0,0.0,0.0
18,Agro and Rural Industries,946.63,1054.63,1199.63,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
19,Animal Husbandry,0.0,0.0,0.0,0,0.0,1398.7,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
20,Animal Husbandry and Dairying,710.69,0.0,0.0,0,1206.28,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
21,Atomic Energy,4995.86,5505.08,6130.0,0,7773.0,8521.0,0,9232.0,9833.32,0,10912.0,11682.48,0,0,16725.51,18228.94,18264.89,22723.58,25078.49
22,B. DONER (gg+hh),0.0,0.0,0.0,0,1374.0,0.0,0,1700.0,1780.0,0,1798.0,1600.0,0,0,0.0,0.0,0.0,0.0,0.0
23,B. UNION TERRITORIES WITHOUT LEGISLATURE (4 + 5 + 6 + 7 + 8),3141.28,3636.03,3666.87,0,0.0,0.0,0,7735.92,8750.32,0,10038.25,10668.66,0,0,0.0,0.0,0.0,0.0,0.0
24,B. Union Territories without Legislature (iii+iv+v+vi+vii),0.0,0.0,0.0,0,5624.99,5251.68,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
25,Biotechnology,458.6,534.6,1389.4,0,1024.0,1222.0,0,1500.39,1502.06,0,1625.14,1820.0,0,0,0.0,0.0,0.0,0.0,0.0
26,CENTRAL SECTOR - TOTAL,0.0,0.0,0.0,0,931596.71,1012519.05,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
27,Cabinet,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,828.85,1140.38,2098.04,1711.04,1258.68
28,Capital Outlay on Defence Services,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,103380.34,113734.0,135060.72,152369.61,162600.0
29,Central Ministries/Departments Total,478574.64,520150.81,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
30,Central Vigilance Commission,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,35.55,39.0,38.67,41.96,44.46
31,Chemicals and Petro-Chemicals,913.25,169.4,257.0,0,265.15,420.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
32,Chemicals and Petrochemicals,0.0,0.0,0.0,0,0.0,0.0,0,1802.62,1343.01,0,255.18,202.04,0,0,0.0,0.0,0.0,0.0,0.0
