Sector,2005-06_share,2006-07_share,2007-08_share,2009-10_share,2010-11_share,2012-13_share,2013-14_share,2015-16_share,2016-17_share,2018-19_share,2019-20_share,2020-21_share,2021-22_share,2022-23_share,2023-24_share
Administration & Governance Sector,20.93625066553123,18.227995480661047,17.73011518928797,18.991247771276054,18.066002342133373,19.630371891445538,21.538120385932373,29.006606202797375,30.82442351939137,20.371589595871498,20.400264489964833,14.184753411420395,22.370839525915283,16.856666867136795,14.019760291611135
Communications & IT Sector,2.3507211928873195,2.2495906837208426,2.315575292300403,3.1237506357444857,2.5260309316401197,2.6933108046918344,2.8047144394150925,3.178120809610597,4.0342261678429585,4.519258433204173,4.101305704157381,7.968243068229984,6.605048732413069,8.017922257015254,8.1762029913472
Cultural & Tourism Sector,1.5974261491855897,1.5143513967258855,1.4340350162842515,1.516011555246208,1.5185007682181082,0.9057863674259665,0.9659373578115588,1.2076265656295355,1.2804787226510324,1.1189791529768365,1.0762392787841488,1.1524974158120767,0.8846119299895554,0.8340588737692797,0.8114716455980578
Defense & Security Sector,34.859409690756294,33.0513054300101,31.351666350863944,26.896630200707822,26.24049909662936,26.465893167374265,25.636668137358043,33.735666320737316,29.167705547650684,18.386312738950615,18.06694784131225,18.770851644387182,16.478647587277273,15.606297248248454,15.781935918572639
Education & Research Sector,10.55720582427657,11.792850608990726,13.253270321709246,10.503169872539814,11.088064083065756,12.12795714077209,11.894969223479485,6.663437767863771,7.068976277849835,10.726420175593013,10.757490240622317,11.412527861826929,9.479231360752866,8.85438837981109,8.285032972906091
Energy Sector,3.6503639847362823,4.371985832353677,4.036491118889372,3.400254288303564,3.5635300872707094,2.7296747207070893,2.6930582007609027,2.652566528115806,3.344743978991965,3.1210913201936035,3.178583693066611,3.2900056269779556,2.765922659950905,2.7260427432182035,2.7958837142786797
Environmental Sector,0.5830299269712167,0.5645237240042198,0.5026064011872876,0.404105246164915,0.4187181823218528,0.3598090028210703,0.3310691936376914,0.16818814462066548,0.1826874614189235,0.008805078606632375,0.2890664176544057,0.2779950224184153,0.22304914073507548,0.20294837369129196,0.1799158458441958
Health & Social Welfare Sector,5.998926414180102,8.138230363291035,8.508496072975182,6.52735506852659,7.700025703735711,8.377217758935672,8.471637986170867,2.7712177572333454,3.662138072134092,9.817042570436884,10.49724654069815,11.173513122100395,9.874459985442074,9.741548059249915,8.772862338413585
Industry & Commerce Sector,8.925835849895716,8.688545739590174,9.416574228237911,11.381509423254123,10.789620791271508,10.286096194996635,9.842988465016603,11.387987071697756,10.500278229547508,8.389112803553598,8.11022579142709,7.45778322751647,7.049992881294649,8.537855896513959,11.038903410056724
Infrastructure Sector,2.2226443617403784,1.9189625068962102,1.941259256661135,4.877692678624626,5.798481750338741,5.933801799388483,5.6879354015553885,8.11864772875861,8.789441857367105,11.842755324684024,12.338120252893159,13.062253452043542,13.67135490868017,19.177895924095377,20.447778254310098
Rural & Regional Development Sector,8.318185939839294,9.481658233756061,9.509910751603295,12.378273259611808,12.290526263374764,10.490081151441357,10.13290120886199,1.109935102935233,1.1449001651545423,11.698632805929133,11.184509749419673,11.249576147266623,10.596841287549072,9.444375377250383,9.690252617061597
