Sector,2005-06,2006-07,2007-08,2009-10,2010-11,2012-13,2013-14,2015-16,2016-17,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Administration & Governance Sector,49849.06,49084.04,54290.29,100054.05,101443.08,143454.71,171110.94999999998,212140.85,235091.59,205333.61,224119.87000000002,158178.13999999998,287841.25,251668.44,239959.13
Communications & IT Sector,5597.05,6057.66,7090.38,16457.260000000002,14184.01,19682.16,22282.23,23243.3,30768.22,45551.46,45057.46,88856.1,84985.88,119706.82,139942.09
Cultural & Tourism Sector,3803.46,4077.82,4391.07,7987.0,8526.59,6619.3,7673.95,8832.02,9765.95,11278.65,11823.7,12851.82,11382.13,12452.42,13888.97
Defense & Security Sector,83000.0,89000.0,96000.0,141703.0,147344.0,193407.29,203672.12,246727.0,222456.14,185323.19,198485.76,209319.0,212027.56,233000.54,270120.14
Education & Research Sector,25136.63,31755.59,40582.020000000004,55335.21,62261.0,88628.61,94500.33,48733.28999999999,53913.64,108115.99,118183.14,127264.28,121967.43000000001,132195.18,141804.80000000002
Energy Sector,8691.49,11772.81,12359.89,17914.0,20009.71,19947.9,21395.17,19399.64,25509.68,31458.760000000002,34920.32,36687.77,35588.59,40699.56,47853.729999999996
Environmental Sector,1388.19,1520.14,1539.0,2129.0,2351.16,2629.41,2630.2,1230.05,1393.32,88.75,3175.72,3100.0,2869.93,3030.0,3079.4
Health & Social Welfare Sector,14283.4,21914.489999999998,26053.34,34388.91,43236.7,61218.979999999996,67303.45999999999,20267.4,27930.38,98950.0,115324.07,124598.95999999999,127052.76000000001,145440.39,150154.38
Industry & Commerce Sector,21252.35,23396.370000000003,28833.91,59962.68,60585.2,75168.67,78198.24,83286.45,80083.48,84557.31,89099.95999999999,83163.82,90710.89,127469.38,188939.44
Infrastructure Sector,5292.1,5167.35,5944.21,25697.78,32559.27,43363.0,45188.16,59376.020000000004,67035.28,119367.98999999999,135548.14,145660.83000000002,175906.66999999998,286324.17,349979.67000000004
Rural & Regional Development Sector,19805.54,25532.050000000003,29119.71,65214.06,69012.99,76659.35,80501.47,8117.55,8731.92,117915.31999999999,122874.43000000001,125447.16,136347.5,141003.63,165856.23
