Sector,Growth_2005-06_to_2006-07,Growth_2006-07_to_2007-08,Growth_2007-08_to_2009-10,Growth_2009-10_to_2010-11,Growth_2010-11_to_2012-13,Growth_2012-13_to_2013-14,Growth_2013-14_to_2015-16,Growth_2015-16_to_2016-17,Growth_2016-17_to_2018-19,Growth_2018-19_to_2019-20,Growth_2019-20_to_2020-21,Growth_2020-21_to_2021-22,Growth_2021-22_to_2022-23,Growth_2022-23_to_2023-24
Administration & Governance Sector,-1.53467287046134,10.60680824153839,84.2945580139653,1.3882796348573478,41.4139929505295,19.278725668888796,23.978535564205572,10.818632997840826,-12.65803681024915,9.14914026982725,-29.422527328790625,81.97283771322638,-12.566930556339651,-4.652673175865829
Communications & IT Sector,8.229513761713747,17.04816711403414,132.10688284689965,-13.813052719590024,38.76301553650907,13.210287895230998,4.313167936961415,32.37457675975443,48.0471083475092,-1.0844877419955323,97.20618960766987,-4.355604173489502,40.854951434285326,16.904024348821544
Cultural & Tourism Sector,7.213431980354734,7.681800569912345,81.89188512139411,6.7558532615500155,-22.368731227841376,15.932953635580805,15.090924491298496,10.574364641384415,15.489532508358117,4.832581913615552,8.695416832294445,-11.435656584048026,9.403248776810669,11.536311817301371
Defense & Security Sector,7.2289156626506035,7.86516853932584,47.60729166666666,3.9808613790816016,31.262413128461297,5.307364577622686,21.139309592299615,-9.837131728590709,-16.692256729798515,7.102494836183215,5.457943179399871,1.293986690171467,9.891629182545891,15.931121876369891
Education & Research Sector,26.33193073216258,27.794885876785802,36.354006035185016,12.516063461221162,42.35012286985433,6.625084157361827,-48.430561036136076,10.630002612177435,100.53550455877213,9.31143487656174,7.6839555963735595,-4.162086957942945,8.385640330373434,7.269266549657871
Energy Sector,35.45214917120079,4.986744880788874,44.93656496942935,11.698727252428265,-0.30890002903589675,7.255249926057372,-9.327011657303952,31.495636001492812,23.320872704008842,11.003485197763663,5.06137973535179,-2.996039279574636,14.361260167935841,17.578003300281388
Environmental Sector,9.505183008089668,1.240675200968333,38.336582196231326,10.434945984030053,11.834583779921392,0.03004476289356628,-53.23359440346742,13.27344416893621,-93.63032182126145,3478.276056338028,-2.3843411887697896,-7.421612903225816,5.577487952667837,1.6303630363036392
Health & Social Welfare Sector,53.42628505817941,18.88636240222794,31.99424718673307,25.728614253839368,41.590315634634464,9.938878432799747,-69.88654075139674,37.809388476074865,254.27373347587823,16.5478221323901,8.042458092226523,1.969358331722848,14.47243649016361,3.241183552931881
Industry & Commerce Sector,10.088390225081012,23.240955755102167,107.95889284526447,1.0381790807215463,24.071010741897368,4.0303626497582234,6.506808848894807,-3.8457276063513346,5.5864580310446055,5.372273550329343,-6.662337446616117,9.074943887858922,40.5226869673531,48.223392943466116
Infrastructure Sector,-2.357287277262332,15.034011630719801,332.31615302958676,26.700711112010467,33.18173288283184,4.209026128266036,31.397295220694986,12.899584714502588,78.06741465091216,13.554848330779489,7.4605892784659344,20.764566561923314,62.77050210773702,22.231968750664688
Rural & Regional Development Sector,28.913677688161997,14.051593976981858,123.95161215547819,5.82532355752734,11.079595305173706,5.011939182891578,-89.91627109418002,7.568416578893866,1250.3939568846254,4.205653684355881,2.0937879426988992,8.689188340333898,3.4148994297658497,17.625503683841327
