Sector,Budget_05-06,Budget_06-07,Budget_07-08,Budget_09-10,Budget_10-11,Budget_12-13,Budget_13-14,Budget_15-16,Budget_16-17,Budget_18-19,Budget_19-20,Budget_20-21,Budget_21-22,Budget_22-23,Budget_23-24
Administration & Governance,221673.27999999997,237984.08000000002,309187.5,415841.58999999997,382739.11,609677.9,686069.05,732679.11,789561.8900000001,175715.63999999998,319968.27,410335.45999999996,267582.89,230895.05,241749.66
Agriculture & Allied,8294.34,9192.72,10553.12,17896.85,15750.439999999999,30049.129999999997,32553.940000000002,27218.79,47604.55,61843.32,145002.92,151259.28,139850.66,145401.97,139450.09
Communications & IT,5597.05,6057.66,7090.38,16457.260000000002,14184.01,19682.16,22282.23,23243.300000000003,30768.219999999998,45551.46,45057.46,88856.1,84985.88,119706.82,139942.09
Consumer Affairs,26723.44,24793.8,26334.64,53729.0,56608.25,76869.45,91591.45,125473.77,141391.61,175944.27000000002,194512.71000000002,124535.43,256948.4,217684.46,205764.6
Culture & Tourism,2938.19,3257.82,5235.08,6711.0,7288.59,5172.3,5611.95,6782.81,7265.95,8435.33,8781.35,9701.96,8694.14,9443.369999999999,10489.32
Defense & Security,96952.0,104123.84,112695.83,166663.0,147344.0,238205.53,253345.91,310079.6,340921.98,492251.21,529213.02,576622.34,581998.14,642854.14,593537.64
Education,18337.03,24114.989999999998,32351.72,44528.21,49904.0,74056.0,79451.0,70238.22,73843.06,88410.29000000001,96836.85,102313.73,96009.54000000001,107276.72,116416.78000000001
Energy,14565.57,17300.67,17111.09,24296.0,28771.21,71113.84,94842.45000000001,56343.22,67041.09999999999,76525.94,92021.54,96770.73,68974.76,69675.03,113155.62000000001
Environment & Climate,1388.19,1520.14,1539.0,2129.0,2351.16,2629.41,2630.2,1679.6,2249.74,88.75,3175.72,3100.0,2869.93,3030.0,3079.4
External Affairs,3928.0,3695.05,4433.6,6293.0,6375.0,9661.97,11719.0,14966.83,14662.66,15011.0,16061.78,17346.71,18154.73,17250.0,18050.0
Health & Family Welfare,10281.13,12545.88,15291.0,21719.33,25154.0,32788.0,35545.0,31572.17,39346.67,56226.37,65037.880000000005,69233.88,76902.07,89250.65,92802.5
Industry & Commerce,23974.32,26307.700000000004,35752.98,61610.18,65112.76,82264.42,85085.44,90550.48,87652.21999999999,97437.06,102250.31999999999,98150.53,114582.94,156750.53999999998,219323.88000000003
Infrastructure,30813.0,33908.68,66382.83,55105.67,47190.97,88518.73,93978.1,125324.57999999999,156651.87,207553.72,230476.96,250154.95,356716.68,514589.80000000005,690743.5900000001
Other,556160.57,614302.04,791654.64,1219051.45,1129779.35,1771848.05,1961069.28,2215290.7600000002,2490091.0,752676.08,1011992.51,1206317.08,1190986.55,1340065.7,1464991.12
Science & Technology,7176.6,8116.35,17347.6,12017.0,13659.0,16240.61,16739.33,18499.73,19534.59,24905.7,26237.260000000002,30022.76,30640.25,30570.97,32225.21
Social Welfare,26985.42,37999.54,52093.67,84922.35,86881.77,112305.24,120966.07999999999,97990.33,121513.25,161840.49,174571.75,180860.69,187338.07,197410.58000000002,221102.61
,,,,,,0.0,0.0,0.0,0.0,,,,,,
