Sector,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_18-19,Growth_18-19_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24
Administration & Governance,7.35803611513306,29.919404692952554,34.49495532646048,-7.960358173890203,59.293336915582,12.52975546595998,6.793785552634968,7.76366887272113,-77.74517207257813,82.09435995566477,28.242547300080712,-34.78923561712165,-13.710831809911328,4.701101214599457
Agriculture & Allied,10.831241545439418,14.798666771097135,69.58823551707928,-11.99322785853376,90.78279717899945,8.3357155431788,-16.38864604407332,74.89590830452053,29.910523258806144,134.4682012543958,4.314644146476487,-7.5424264878161456,3.9694557036770384,-4.093397083959727
Communications & IT,8.229513761713747,17.04816711403414,132.10688284689965,-13.813052719590024,38.76301553650907,13.210287895230998,4.313167936961437,32.37457675975439,48.04710834750922,-1.0844877419955323,97.20618960766987,-4.355604173489502,40.854951434285326,16.904024348821544
Consumer Affairs,-7.220776965839725,6.214618170671704,104.02405349000405,5.3588378715405005,35.791956119470214,19.151951783185652,36.992885252935736,12.686189312714502,24.437560333318253,10.553591770848803,-35.97568508505178,106.3255412536015,-15.28086573024,-5.475751461542078
Culture & Tourism,10.878465994370679,60.692733177400825,28.19288339433208,8.606616003576217,-29.035657102402524,8.500087001914025,20.863692655850464,7.123006541536614,16.093972570689317,4.102032759832763,10.483695559338813,-10.387797929490539,8.617643608223457,11.076024766582272
Defense & Security,7.397310009076663,8.232495075095203,47.88745954486515,-11.591655016410362,61.6662571940493,6.356015328443476,22.39376589896398,9.946600808308581,44.388229236495704,7.508729130396641,8.95845684219938,0.9322913156642576,10.456390805647597,-7.671491389944229
Education,31.5097919346808,34.15605811986653,37.63784429390462,12.072773641698141,48.3969220904136,7.285027546721401,-11.595549458156595,5.132305459904862,19.727283782660155,9.531198234956584,5.655780831367396,-6.161626596938641,11.735479620046085,8.520077795070558
Energy,18.77784391548012,-1.0957957119579698,41.989785571813364,18.419534079683885,147.17013987246278,33.36707735090667,-40.59282525915348,18.986987254189568,14.147798887548113,20.24882020397265,5.160954706908849,-28.723530348484505,1.0152554354665444,62.404838577034006
Environment & Climate,9.505183008089668,1.240675200968333,38.336582196231326,10.434945984030053,11.834583779921392,0.03004476289356628,-36.14173827085393,33.94498690164325,-96.05509970040983,3478.276056338028,-2.3843411887697896,-7.421612903225816,5.577487952667837,1.6303630363036392
External Affairs,-5.930498981670052,19.98755091270754,41.93883074702271,1.3030351183854982,51.56031372549019,21.289964675940844,27.714224763205042,-2.03229407964145,2.375694451075039,7.000066617813605,7.999922798095849,4.658059078637966,-4.983439577454474,4.637681159420293
Health & Family Welfare,22.02822063333505,21.88064926493798,42.03995814531425,15.813885603285183,30.349049852906095,8.408564108820293,-11.176902517935016,24.624534835584623,42.899945535416364,15.671490085523931,6.451624806958645,11.07577677287479,16.057539153367383,3.9796348822109584
Industry & Commerce,9.732830795617996,35.90310061312847,72.32180366503714,5.68506698081388,26.34147285416868,3.4292103439129695,6.4230025724730355,-3.2007119122946737,11.16325405106684,4.939865796443366,-4.009562023864566,16.742049176912243,36.80094087304793,39.91905865204679
Infrastructure,10.046668613896736,95.76943130785392,-16.988067546984663,-14.362768840302632,87.57556795293675,6.167474386494254,33.35509017526421,24.996923987297627,32.49361147109193,11.044485254227187,8.537942360919736,42.59828958011824,44.25728564192739,34.23188528027568
Other,10.45407983525335,28.870586202188097,53.98778563339184,-7.3230789397773055,56.83133613656506,10.679314741464419,12.96341147111335,12.404703028689546,-69.77314965597643,34.45259347155021,19.20217472755803,-1.2708540941822721,12.51728241599368,9.322335464597021
Science & Technology,13.09464091631134,113.73647021136347,-30.72816989093592,13.663976033951908,18.900431949630292,3.0708206157281204,10.516549945547382,5.593919478824838,27.495381269839815,5.346406645868229,14.427954748323547,2.0567396202081367,-0.22610781569993854,5.411146587759563
Social Welfare,40.81507717871355,37.09026477688939,63.0185586847692,2.307307793531388,29.262145557117456,7.711875242864874,-18.993547612686122,24.00534828283567,33.187524817252424,7.866548105483373,3.6024958219184944,3.581419489221238,5.376648750571622,12.001398303981459
,,,,,,,,,,,,,,
