Sector,Percentage_05-06,Percentage_06-07,Percentage_07-08,Percentage_09-10,Percentage_10-11,Percentage_12-13,Percentage_13-14,Percentage_15-16,Percentage_16-17,Percentage_18-19,Percentage_19-20,Percentage_20-21,Percentage_21-22,Percentage_22-23,Percentage_23-24
Administration & Governance,43.062151341747786,41.865644546505706,42.26297355905353,40.39753042478378,39.44363649532344,21.317455154501,21.477873728817464,21.898145631763853,21.256760442518086,7.200231216257529,10.452386243648444,12.013633531575117,7.682020926043408,5.932775052970873,5.618395124219939
Agriculture & Allied,1.6112547455422337,1.6171634167107054,1.4425105527407123,1.73861527987807,1.6231804217797394,1.0506711514502505,1.0191239682004312,0.8135089689405745,1.2816202607294969,2.5341295924540557,4.736802578258325,4.428507246655967,4.014964098193953,3.7360574870220016,3.2408968257826367
Communications & IT,1.087280407306327,1.0656504432716076,0.969187119348751,1.5987642350987004,1.46175010566867,0.6881888996529372,0.6975608684526263,0.694690433254985,0.8283488477169202,1.866544402297406,1.4718896191729887,2.601492501878809,2.4398544637073543,3.0758287601508774,3.2523311765118836
Consumer Affairs,5.191283395329002,4.361671662058879,3.599693370550858,5.21958112028479,5.83383087146854,2.687748814785901,2.867334705944392,3.750131334338771,3.806576305692697,7.20959969855639,6.354136221753423,3.646097311982557,7.376715998969037,5.593333134285191,4.782082528583768
Culture & Tourism,0.5707714635287119,0.5731086470847009,0.7155853571684818,0.6519497645262563,0.7511343550008504,0.18085004113750153,0.17568603841324304,0.20272307364213538,0.19561551854701884,0.3456512259548076,0.286859887515291,0.2840500111250452,0.24959953685361208,0.2426443960231003,0.24377756868151412
Defense & Security,18.833851769979365,18.317240692138874,15.404441911479577,16.190717270934204,15.184712050375351,8.328882682690555,7.93117174531099,9.267588150887887,9.17837721175846,20.17078575636489,17.287773222662512,16.88211269598613,16.708549228982246,16.51793316699966,13.794141355222628
Education,3.562143173133764,4.242256875260478,4.422170647098939,4.325757118801325,5.1429163736693155,2.589376224596178,2.487269387284379,2.099263851641503,1.9880192504763485,3.6227539557456634,3.163364163634875,2.995499481006402,2.7563320486590217,2.7564412843867445,2.705590027011353
Energy,2.8295010554218414,3.043496441595567,2.338922318129243,2.360269926826095,2.9650514387479627,2.4865032750315526,2.969109545506657,1.6839732702663108,1.8048953736899571,3.1357735830541364,3.0060626912016772,2.8332137973232983,1.980192192740058,1.790277789840004,2.629798874116655
Environment & Climate,0.26966916297309657,0.2674197404335836,0.21036657790946717,0.2068247725639099,0.2423016043025879,0.09193761124980335,0.08234025930995675,0.05019950057414708,0.06056799960032345,0.003636674119861247,0.10374107420613686,0.09076053029363552,0.08239264594339256,0.07785488866262723,0.07156695047894951
External Affairs,0.7630515074725529,0.6500252028688891,0.6060307081347718,0.6113425522520832,0.6569832454741481,0.33783184888140777,0.3668715302461346,0.4473251912230065,0.39475138683566935,0.6150998897266161,0.5246893022252104,0.5078698704677129,0.5212030401744597,0.4432332770397095,0.41949193224168296
Health & Family Welfare,1.9972076743944214,2.2070440703559453,2.0901334261297353,2.1099556070880725,2.592275538299093,1.1464360436974652,1.1127612033960965,0.9436217944999221,1.0592997825677897,2.3039660240309052,2.1245889232331017,2.027001181640622,2.20777685372953,2.293267134923139,2.1567811657539493
Industry & Commerce,4.657240584681613,4.6279936751908295,4.887090352609241,5.985209706961744,6.7102733155418495,2.8763845370826715,2.66365949095193,2.7063520318821706,2.3597925208812853,3.9926403878013237,3.340205696573136,2.873611016581091,3.2895546604178474,4.027655392576467,5.0972076569497515
Infrastructure,5.985719475496887,5.96514163435305,9.073897842135098,5.353319711006047,4.863321823948731,3.095067177452852,2.9420504613554286,3.7456723777475243,4.217416412363171,8.504847797238622,7.528978439586877,7.323934166960607,10.240957485841976,13.222221645519344,16.05326112203085
Other,108.03950135827247,108.06668601880148,108.21161631120934,118.42650957724501,116.43076141688995,61.9528628911513,61.39265190479439,66.21010346423121,67.03878256721623,30.84211403689705,33.058704821572654,35.31805738163547,34.19196047899865,34.43256299475433,34.04719975876495
Science & Technology,1.3941230775273736,1.4278107347139843,2.371250972672042,1.1674087796620505,1.407644572538257,0.5678547235462209,0.5240364888126144,0.552915698235631,0.5259145676000261,1.020551150727079,0.8570911593672322,0.8789940704769511,0.8796490750182179,0.7855113748047913,0.7489316127309698
Social Welfare,5.2421755119093625,6.68479687620586,7.12070636039316,8.249904050889038,8.953704663080545,3.9267651284645093,3.7869281404109856,2.928712566739618,3.2714066858543673,6.631674608773666,5.702725955388124,5.295165204410589,5.378277265727211,5.072402220041144,5.138546320918518
,,,,,,0.0,0.0,0.0,0.0,,,,,,
